yourlist:M20201111A94466D2655679D1FD8953E075198DA80FEDA3S	Entry
C19orf47	Q8N9M1
KIAA0586	Q9BVV6
AAK1	Q2M2I8
ABCC4	O15439
ABCF1	Q8NE71
ABL1	P00519
ACIN1	Q9UKV3
ADD3	Q9UEY8
ADNP	Q9H2P0
AFF3	P51826
AFF4	Q9UHB7
AFTPH	Q6ULP2
AGAP1	Q9UPQ3
AGFG1	P52594
AHCTF1	Q8WYP5
AHDC1	Q5TGY3
AHI1	Q8N157
AHNAK	Q09666
AHNAK2	Q8IVF2
C2orf49	Q9BVC5
CRYBG2	Q8N1P7
AKAP1	Q92667
AKAP11	Q9UKA4
AKAP12	Q02952
AKAP13	Q12802
AKIRIN1	Q9H9L7
AKIRIN2	Q53H80
ALKBH5	Q6P6C2
AMPH	P49418
ANKLE2	Q86XL3
ANKRD11	Q6UB99
ANLN	Q9NQW6
APC	P25054
API5	Q9BZZ5
ARFGAP3	Q9NP61
ARFGEF2	Q9Y6D5
ARHGAP11A	Q6P4F7
ARHGAP12	Q8IWW6
ARHGAP19	Q14CB8
ARHGAP32	A7KAX9
ARHGAP39	Q9C0H5
ARHGEF16	Q5VV41
ARHGEF7	Q14155
ARID4B	Q4LE39
ARID5B	Q14865
ASXL2	Q76L83
ATAD2	Q6PL18
ATAD2B	Q9ULI0
ATAD5	Q96QE3
ATF6	P18850
ATF7	P17544
ATF7IP	Q6VMQ6
ATG2B	Q96BY7
ATN1	P54259
ATP2B2	Q01814
ATP5ME	P56385
ATXN2	Q99700
ATXN2L	Q8WWM7
CEP131	Q9UPN4
BACH1	O14867
BAG3	O95817
BAHCC1	Q9P281
C17orf49	Q8IXM2
BAZ1B	Q9UIG0
BAZ2A	Q9UIF9
BAZ2B	Q9UIF8
BCAR1	P56945
BCAS3	Q9H6U6
BCL2L14	Q9BZR8
BCL9L	Q86UU0
BCLAF1	Q9NYF8
BCORL1	Q5H9F3
BLM	P54132
BNC2	Q6ZN30
BOP1	Q14137
BORA	Q6PGQ7
BPTF	Q12830
BRCA1	P38398
BRCA2	P51587
BRD4	O60885
BRPF1	P55201
BUB1	O43683
BUB1B	O60566
MIDEAS	Q6PJG2
C1orf131	Q8NDD1
C2CD2L	O14523
C3orf38	Q5JPI3
CABIN1	Q9Y6J0
CALD1	Q05682
CALU	O43852
CAMSAP1	Q5T5Y3
CAMSAP2	Q08AD1
CANX	P27824
KNL1	Q8NG31
CASP8AP2	Q9UKL3
CAST	P20810
CASZ1	Q86V15
CBX2	Q14781
CCDC14	Q49A88
CCDC71	Q8IV32
SPDL1	Q96EA4
CCNB2	O95067
CCNL2	Q96S94
CCNT2	O60583
CCP110	O43303
CD2AP	Q9Y5K6
CDC20	Q12834
CDC25A	P30304
CDC25B	P30305
CDC6	Q99741
CDC7	O00311
CDCA2	Q69YH5
CDCA3	Q99618
CDCA5	Q96FF9
CDCA8	Q53HL2
CDK11B	P21127
CDK12	Q9NYV4
CDK13	Q14004
CDKN1B	P46527
CDV3	Q9UKY7
CDYL	Q9Y232
CECR2	Q9BXF3
CENPC	Q03188
CENPF	P49454
CENPL	Q8N0S6
CENPO	Q9BU64
CEP170	Q5SW79
CEP350	Q5VT06
CEP55	Q53EZ4
CEP70	Q8NHQ1
CEP95	Q96GE4
CFDP1	Q9UEE9
CGGBP1	Q9UFW8
CGNL1	Q0VF96
CHAF1A	Q13111
CHAF1B	Q13112
CHD4	Q14839
CHD8	Q9HCK8
CHD9	Q3L8U1
CHFR	Q96EP1
CIC	Q96RK0
CKAP4	Q07065
CLASP1	Q7Z460
CLASRP	Q8N2M8
CLIP1	P30622
CLMN	Q96JQ2
COBLL1	Q53SF7
COMMD10	Q9Y6G5
EMC8	O43402
COX7A2L	O14548
CRMP1	Q14194
CRTC2	Q53ET0
CSMD3	Q7Z407
CSNK1A1	P48729
KAT14	Q9H8E8
CTTN	Q14247
CTTNBP2NL	Q9P2B4
CUL4B	Q13620
ILRUN	Q9H6K1
WASHC2A	Q641Q2
DAB2	P98082
DBNL	Q9UJU6
DCAF5	Q96JK2
DCP2	Q8IU60
DDB2	Q92466
DDX18	Q9NVP1
DDX24	Q9GZR7
DDX6	P26196
DENND2A	Q9ULE3
DENND4C	Q5VZ89
DEPDC5	O75140
DEPTOR	Q8TB45
DHX38	Q92620
DHX9	Q08211
DICER1	Q9UPY3
DIS3L2	Q8IYB7
DLG5	Q8TDM6
DLGAP4	Q9Y2H0
DLGAP5	Q15398
DMAP1	Q9NPF5
DMD	P11532
DNAJC1	Q96KC8
DNM1L	O00429
DNMT1	P26358
DNMT3B	Q9UBC3
DNTTIP2	Q5QJE6
DOCK1	Q14185
DOCK5	Q9H7D0
DOCK7	Q96N67
DOCK9	Q9BZ29
DOT1L	Q8TEK3
DPF2	Q92785
DST	Q03001
DTL	Q9NZJ0
DYNC1LI1	Q9Y6G9
DYNC1LI2	O43237
E2F8	A0AVK6
ECT2	Q9H8V3
EDC4	Q6P2E9
EEF1D	P29692
EHBP1	Q8NDI1
EHD1	Q9H4M9
EHD4	Q9H223
EHMT2	Q96KQ7
EIF3E	P60228
EIF4B	P23588
EIF4EBP2	Q13542
EIF4G1	Q04637
EMSY	Q7Z589
ENAH	Q8N8S7
EP300	Q09472
EP400	Q96L91
EPB41L3	Q9Y2J2
DMTN	Q08495
EPS15L1	Q9UBC2
ERAL1	O75616
ERCC6L	Q2NKX8
ERF	P50548
ERICH1	Q86X53
ERRFI1	Q9UJM3
ESCO1	Q5FWF5
ESF1	Q9H501
ESRRB	O95718
EXOC4	Q96A65
EYA3	Q99504
EZH2	Q15910
FAM117B	Q6P1L5
FAM120A	Q9NZB2
FAM126B	Q8IXS8
FAM169A	Q9Y6X4
WASHC2C	Q9Y4E1
GAREM1	Q9H706
FAM76B	Q5HYJ3
FAN1	Q9Y2M0
FANCM	Q8IYD8
FBF1	Q8TES7
FBXL19	Q6PCT2
FBXO15	Q8NCQ5
FBXO28	Q9NVF7
FBXO30	Q8TB52
FBXW11	Q9UKB1
FERMT2	Q96AC1
CEP43	O95684
FIP1L1	Q6UN15
FLNB	O75369
FOXM1	Q08050
FOXO1	Q12778
FOXO3	O43524
FSIP2	Q5CZC0
FZR1	Q9UM11
G3BP1	Q13283
GAB1	Q13480
GAPVD1	Q14C86
GAS2	O43903
GAS2L3	Q86XJ1
GATAD2A	Q86YP4
GJA1	P17302
GLI1	P08151
NOP53	Q9NZM5
GMEB1	Q9Y692
GMEB2	Q9UKD1
GOLGA2	Q08379
GOLGA3	Q08378
GOLGA4	Q13439
GOLGA5	Q8TBA6
GON4L	Q3T8J9
GORASP2	Q9H8Y8
GPBP1	Q86WP2
GPRASP1	Q5JY77
GTF2E2	P29084
GTF2F1	P35269
GTF2I	P78347
GTF3C2	Q8WUA4
GTPBP1	O00178
GTPBP4	Q9BZE4
GTSE1	Q9NYZ3
GZF1	Q9H116
MACROH2A2	Q9P0M6
HBEGF	Q99075
HBS1L	Q9Y450
HCFC1	P51610
HDAC6	Q9UBN7
HELB	Q8NG08
HELLS	Q9NRZ9
HELZ	P42694
HERC2	O95714
HIRA	P54198
PPIP5K2	O43314
HJURP	Q8NCD3
HMGA1	P17096
HMGN5	P82970
HMGXB3	Q12766
HMGXB4	Q9UGU5
HMMR	O75330
JPT1	Q9UK76
JPT2	Q9H910
HNRNPA1	P09651
HNRNPC	P07910
HNRNPK	P61978
HSPA9	P38646
HSPD1	P10809
HSPH1	Q92598
IARS1	P41252
IGF2BP1	Q9NZI8
IK	Q13123
ILF3	Q12906
IMPACT	Q9P2X3
INCENP	Q9NQS7
INO80	Q9ULG1
INO80B	Q9C086
INO80E	Q8NBZ0
INPP5D	Q92835
ISG20L2	Q9H9L3
ITGB3BP	Q13352
ITSN1	Q15811
JARID2	Q92833
JMJD1C	Q15652
KAT5	Q92993
KCTD3	Q9Y597
KDM1A	O60341
KDM2A	Q9Y2K7
KDM3B	Q7LBC6
KDM4B	O94953
KDM4C	Q9H3R0
KDM5A	P29375
KDM6B	O15054
SPIDR	Q14159
CEP170B	Q9Y4F5
C2CD5	Q86YS7
KIAA1109	Q2LD37
KANSL3	Q9P2N6
KIAA1328	Q86T90
KIAA1522	Q9P206
Camsap3	Q9P1Y5
KIAA1671	Q9BY89
GPALPP1	Q8IXQ4
TASOR2	Q5VWN6
KIF14	Q15058
KIF18A	Q8NI77
KIF18B	Q86Y91
KIF20A	O95235
KIF20B	Q96Q89
KIF22	Q14807
KIF24	Q5T7B8
KIN	O60870
KLF3	P57682
KRI1	Q8N9T8
KRTCAP2	Q8N6L1
L1TD1	Q5T7N2
L3MBTL2	Q969R5
LACTB2	Q53H82
LAD1	O00515
LAMTOR1	Q6IAA8
LARP1	Q6PKG0
LARP4	Q71RC2
LARP4B	Q92615
LASP1	Q14847
LCA5	Q86VQ0
LENG1	Q96BZ8
LIG1	P18858
LIG3	P49916
LIMA1	Q9UHB6
LIMK2	P53671
LIN54	Q6MZP7
LINS1	Q8NG48
MARF1	Q9Y4F3
LPIN1	Q14693
LPIN3	Q9BQK8
LRP2	P98164
CARMIL1	Q5VZK9
LRRFIP1	Q32MZ4
LSG1	Q9H089
LSM14B	Q9BX40
LUZP1	Q86V48
MACF1	Q9UPN3
MAD2L1	Q13257
MAF1	Q9H063
MAGED2	Q9UNF1
MAP1B	P46821
MAP3K4	Q9Y6R4
MAP4	P27816
MAP4K3	Q8IVH8
MAP4K4	O95819
MAP7	Q14244
MAP7D1	Q3KQU3
MAP7D2	Q96T17
MAP7D3	Q8IWC1
MAPK6	Q16659
MAPT	P10636
MARCKS	P29966
MARCKSL1	P49006
MARK3	P27448
MAST2	Q6P0Q8
MAST4	O15021
MCM3	P25205
MCM3AP	O60318
MCMBP	Q9BTE3
MCPH1	Q8NEM0
MCRS1	Q96EZ8
MDC1	Q14676
MDN1	Q9NU22
MECP2	P51608
MED1	Q15648
SFR1	Q86XK3
MELK	Q14680
MEN1	O00255
MGA	Q8IWI9
OGA	O60502
MICAL3	Q7RTP6
MINK1	Q8N4C8
MIS18BP1	Q6P0N0
MKI67	P46013
NIFK	Q9BYG3
AFDN	P55196
MLXIPL	Q9NP71
MPHOSPH8	Q99549
MPHOSPH9	Q99550
MRPS23	Q9Y3D9
MSH6	P52701
MSL1	Q68DK7
MSL3	Q8N5Y2
MTA1	Q13330
MTDH	Q86UE4
MTMR6	Q9Y217
MTUS1	Q9ULD2
MTX3	Q5HYI7
MYBBP1A	Q9BQG0
MYBL2	P10244
NACA	Q13765
NACC1	Q96RE7
NAV1	Q8NEY1
NAV2	Q8IVL1
NBN	O60934
NCAM1	P13591
NCAPD2	Q15021
NCAPH	Q15003
NCBP3	Q53F19
NCL	P19338
NCOA3	Q9Y6Q9
NCOR1	O75376
NCOR2	Q9Y618
NDC80	O14777
NDE1	Q9NXR1
NDEL1	Q9GZM8
NECAP2	Q9NVZ3
NEDD4L	Q96PU5
NEK1	Q96PY6
NEK9	Q8TD19
NFATC2IP	Q8NCF5
NFATC3	Q12968
NFX1	Q12986
