target_number	kinase	subset	perc_of_subsets	perc_of_targets	doubleNorm
415	AURK	Total	100	100	2.40963855421687
659	CDK	Total	100	100	1.51745068285281
42	DYRK	Total	100	100	23.8095238095238
408	MAPK	Total	100	100	2.45098039215686
43	NEK	Total	100	100	23.2558139534884
465	PLK	Total	100	100	2.1505376344086
28	AURK	cluster 1	21.3740458015267	6.74698795180723	0.515037248229559
38	CDK	cluster 1	29.0076335877863	5.76631259484067	0.440176533957303
0	DYRK	cluster 1	0	0	0
9	MAPK	cluster 1	6.87022900763359	2.20588235294118	0.168387965873372
4	NEK	cluster 1	3.05343511450382	9.30232558139535	0.710101189419492
38	PLK	cluster 1	29.0076335877863	8.17204301075269	0.623820077156694
20	AURK	cluster 2	14.0845070422535	4.81927710843374	0.339385711861531
35	CDK	cluster 2	24.6478873239437	5.31107738998482	0.374019534505974
2	DYRK	cluster 2	1.40845070422535	4.76190476190476	0.335345405767941
13	MAPK	cluster 2	9.15492957746479	3.18627450980392	0.224385528859431
3	NEK	cluster 2	2.11267605633803	6.97674418604651	0.491320013101867
23	PLK	cluster 2	16.1971830985916	4.94623655913978	0.348326518249281
70	AURK	cluster 3	17.1990171990172	16.8674698795181	0.414434149373908
126	CDK	cluster 3	30.958230958231	19.1198786039454	0.469775887074825
3	DYRK	cluster 3	0.737100737100737	7.14285714285714	0.175500175500175
36	MAPK	cluster 3	8.84520884520884	8.82352941176471	0.216794334441393
2	NEK	cluster 3	0.491400491400491	4.65116279069767	0.114279184046626
83	PLK	cluster 3	20.3931203931204	17.8494623655914	0.43856172888431
26	AURK	cluster 4	20.9677419354839	6.26506024096386	0.505246793626117
32	CDK	cluster 4	25.8064516129032	4.85584218512898	0.391600176220079
0	DYRK	cluster 4	0	0	0
9	MAPK	cluster 4	7.25806451612903	2.20588235294118	0.177893738140417
3	NEK	cluster 4	2.41935483870968	6.97674418604651	0.562640660165041
25	PLK	cluster 4	20.1612903225806	5.37634408602151	0.433576135969476
50	AURK	cluster 5	16.3934426229508	12.0481927710843	0.395022713806044
69	CDK	cluster 5	22.6229508196721	10.4704097116844	0.34329212169457
4	DYRK	cluster 5	1.31147540983607	9.52380952380952	0.312256049960968
15	MAPK	cluster 5	4.91803278688525	3.67647058823529	0.120540019286403
7	NEK	cluster 5	2.29508196721311	16.2790697674419	0.533739992375143
58	PLK	cluster 5	19.0163934426229	12.4731182795699	0.408954697690816
19	AURK	cluster 6	22.3529411764706	4.57831325301205	0.538625088589653
31	CDK	cluster 6	36.4705882352941	4.7040971168437	0.553423190216906
0	DYRK	cluster 6	0	0	0
6	MAPK	cluster 6	7.05882352941176	1.47058823529412	0.173010380622837
2	NEK	cluster 6	2.35294117647059	4.65116279069767	0.547195622435021
23	PLK	cluster 6	27.0588235294118	4.94623655913978	0.58191018342821
