target_number	kinase	subset	perc_of_subsets	perc_of_targets
415	AURK	Total	100	100
659	CDK	Total	100	100
42	DYRK	Total	100	100
408	MAPK	Total	100	100
43	NEK	Total	100	100
465	PLK	Total	100	100
398	AURK	xenopus proteome	2.93164407778433	95.9036144578313
627	CDK	xenopus proteome	4.6184443134944	95.144157814871
41	DYRK	xenopus proteome	0.302003535651149	97.6190476190476
381	MAPK	xenopus proteome	2.80642309958751	93.3823529411765
43	NEK	xenopus proteome	0.31673541543901	100
448	PLK	xenopus proteome	3.29994107248085	96.3440860215054
182	AURK	xenopus phosphoproteome	9.86984815618221	43.855421686747
304	CDK	xenopus phosphoproteome	16.4859002169197	46.1305007587253
11	DYRK	xenopus phosphoproteome	0.596529284164859	26.1904761904762
92	MAPK	xenopus phosphoproteome	4.98915401301518	22.5490196078431
16	NEK	xenopus phosphoproteome	0.867678958785249	37.2093023255814
228	PLK	xenopus phosphoproteome	12.3644251626898	49.0322580645161
98	AURK	xenopus dynamic phosphoproteome	9.49612403100775	23.6144578313253
149	CDK	xenopus dynamic phosphoproteome	14.437984496124	22.6100151745068
7	DYRK	xenopus dynamic phosphoproteome	0.678294573643411	16.6666666666667
45	MAPK	xenopus dynamic phosphoproteome	4.36046511627907	11.0294117647059
7	NEK	xenopus dynamic phosphoproteome	0.678294573643411	16.2790697674419
99	PLK	xenopus dynamic phosphoproteome	9.59302325581395	21.2903225806452
42	AURK	cluster A	16.5354330708661	10.1204819277108
70	CDK	cluster A	27.5590551181102	10.6221547799696
2	DYRK	cluster A	0.78740157480315	4.76190476190476
21	MAPK	cluster A	8.26771653543307	5.14705882352941
2	NEK	cluster A	0.78740157480315	4.65116279069767
50	PLK	cluster A	19.6850393700787	10.752688172043
26	AURK	cluster B	12.56038647343	6.26506024096386
41	CDK	cluster B	19.8067632850242	6.22154779969651
1	DYRK	cluster B	0.483091787439614	2.38095238095238
14	MAPK	cluster B	6.76328502415459	3.43137254901961
4	NEK	cluster B	1.93236714975845	9.30232558139535
24	PLK	cluster B	11.5942028985507	5.16129032258065
40	AURK	cluster C	20	9.63855421686747
58	CDK	cluster C	29	8.80121396054628
4	DYRK	cluster C	2	9.52380952380952
17	MAPK	cluster C	8.5	4.16666666666667
3	NEK	cluster C	1.5	6.97674418604651
37	PLK	cluster C	18.5	7.95698924731183
30	AURK	cluster D	20	7.2289156626506
50	CDK	cluster D	33.3333333333333	7.58725341426404
1	DYRK	cluster D	0.666666666666667	2.38095238095238
11	MAPK	cluster D	7.33333333333333	2.69607843137255
1	NEK	cluster D	0.666666666666667	2.32558139534884
34	PLK	cluster D	22.6666666666667	7.31182795698925
