pdb_id,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,model_quality,data_quality,r_factor,resolution,r_free,entity_id
1ufw,,,,,"IPR015047,IPR034974,IPR012677,IPR035979,IPR034973","Domain of unknown function DUF1866,Synaptojanin-2,Nucleotide-binding alpha-beta plait domain superfamily,RNA-binding domain superfamily,Synaptojanin-2\, RNA recognition motif","3.30.70.330,3.30.70.330","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","Alpha-Beta Plaits,Alpha-Beta Plaits","Alpha-Beta Plaits,RRM (RNA recognition motif) domain",3.1.3.36,Phosphoinositide 5-phosphatase,"Phosphatidyl-myo-inositol-4\,5-bisphosphate 4-phosphohydrolase","Hydrolases,Acting on ester bonds,Phosphoric monoester hydrolases,Phosphoinositide 5-phosphatase","GO:0046856,GO:0034595,GO:0003676",phosphatidylinositol dephosphorylation,"phosphatidylinositol phosphate 5-phosphatase activity,nucleic acid binding",,Alpha and beta proteins (a+b),Ferredoxin-like,"RNA-binding domain\, RBD",Canonical RBD,"O15056,O15056-3,O15056-2","SYNJ2_HUMAN,SYNJ2_HUMAN,SYNJ2_HUMAN",0.05,,,4.13,-1.0,,,,1
1inz,PF01417,ENTH,ENTH_VHS,ENTH domain,"IPR013809,IPR008942","ENTH  domain,ENTH/VHS",1.25.40.90,Mainly Alpha,Alpha Horseshoe,"Serine Threonine Protein Phosphatase 5\, Tetratricopeptide repeat","Serine Threonine Protein Phosphatase 5\, Tetratricopeptide repeat",,,,,,,,,All alpha proteins,alpha-alpha superhelix,ENTH/VHS domain,ENTH domain,"Q9Y6I3,Q9Y6I3-3,Q9Y6I3-1","EPN1_HUMAN,EPN1_HUMAN,EPN1_HUMAN",0.25,,,3.26,-1.0,,,,1
2na5,,,,,IPR001955,Pancreatic hormone-like,,,,,,,,,,"GO:0005179,GO:0005576",,hormone activity,extracellular region,,,,,"P10082,P10082-2","PYY_HUMAN,PYY_HUMAN",0.49,25928,,15.56,-1.0,,,,1
1wjm,PF15410,PH_9,PH,Pleckstrin homology domain,"IPR001849,IPR001605,IPR011993,IPR041681","Pleckstrin homology domain,Pleckstrin homology domain\, spectrin-type,PH-like domain superfamily,Pleckstrin homology domain 9",2.30.29.30,Mainly Beta,Roll,PH-domain like,Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB),,,,,GO:0005543,,phospholipid binding,,All beta proteins,PH domain-like barrel,PH domain-like,Pleckstrin-homology domain (PH domain),"O15020,O15020-2","SPTN2_HUMAN,SPTN2_HUMAN",0.05,,,5.98,-1.0,,,,1
2ksa,,,,,IPR008215,Tachykinin domain,,,,,,,,,,GO:0007217,tachykinin receptor signaling pathway,,,,,,,"P20366,P20366-3,P20366-2,P20366-4","TKN1_HUMAN,TKN1_HUMAN,TKN1_HUMAN,TKN1_HUMAN",0.1,20116,,0.86,-1.0,,,,2
5szw,PF00076,RRM_1,RRM,"RNA recognition motif. (a.k.a. RRM\, RBD\, or RNP domain)","IPR002343,IPR000504,IPR034775,IPR012677,IPR035979","Paraneoplastic encephalomyelitis antigen,RNA recognition motif domain,Splicing factor ELAV/Hu\, RNA recognition motif 1,Nucleotide-binding alpha-beta plait domain superfamily,RNA-binding domain superfamily",3.30.70.330,Alpha Beta,2-Layer Sandwich,Alpha-Beta Plaits,RRM (RNA recognition motif) domain,,,,,"GO:0003723,GO:0003676,GO:1990904",,"RNA binding,nucleic acid binding",ribonucleoprotein complex,,,,,"Q15717,Q15717-2","ELAV1_HUMAN,ELAV1_HUMAN",0.3,"25244,30155",,19.38,-1.0,,,,1
1unc,,,,,"IPR036886,IPR003128","Villin headpiece domain superfamily,Villin headpiece",,,,,,,,,,"GO:0007010,GO:0003779",cytoskeleton organization,actin binding,,All alpha proteins,"VHP\, Villin headpiece domain","VHP\, Villin headpiece domain","VHP\, Villin headpiece domain","P09327,P09327-2","VILI_HUMAN,VILI_HUMAN",0.04,5965,,12.33,-1.0,,,,1
1rk7,PF00080,Sod_Cu,,Copper/zinc superoxide dismutase (SODC),"IPR001424,IPR036423,IPR024134","Superoxide dismutase\, copper/zinc binding domain,Superoxide dismutase-like\, copper/zinc binding domain superfamily,Superoxide dismutase (Cu/Zn) / superoxide dismutase copper chaperone",2.60.40.200,Mainly Beta,Sandwich,Immunoglobulin-like,"Superoxide dismutase\, copper/zinc binding domain",1.15.1.1,Superoxide dismutase,Superoxide:superoxide oxidoreductase,"Oxidoreductases,Acting on superoxide as acceptor,Acting on superoxide as acceptor,Superoxide dismutase","GO:0032930,GO:0046677,GO:0002576,GO:0019226,GO:0006979,GO:0007566,GO:0043065,GO:0048538,GO:0050728,GO:0009408,GO:0007568,GO:0031667,GO:0042542,GO:0060047,GO:0019430,GO:0008090,GO:1902177,GO:0071318,GO:0001975,GO:0000302,GO:0008089,GO:0060087,GO:0000303,GO:0043524,GO:0050665,GO:0046688,GO:0046716,GO:0001819,GO:0007569,GO:0046620,GO:0001895,GO:0045471,GO:0040014,GO:0001890,GO:0097332,GO:0043085,GO:0032287,GO:0060088,GO:0050766,GO:0035865,GO:0001541,GO:0007605,GO:0043066,GO:0006879,GO:0008217,GO:0000187,GO:0006749,GO:0033081,GO:0043087,GO:0055114,GO:0072593,GO:0060052,GO:0034465,GO:0034599,GO:0007626,GO:0042493,GO:0045859,GO:0006801,GO:0042554,GO:0007283,GO:0051881,GO:0002262,GO:0048678,GO:0071276,GO:0035722,GO:0045541,GO:0010033,GO:0005515,GO:0016491,GO:0030346,GO:0016209,GO:0046872,GO:0019899,GO:0004784,GO:0051087,GO:0048365,GO:0005507,GO:0008270,GO:0042802,GO:0005777,GO:0005634,GO:0005764,GO:0030141,GO:0043025,GO:0005654,GO:0031045,GO:0070062,GO:0043005,GO:0031410,GO:0005615,GO:0032991,GO:0005623,GO:0005737,GO:0005758,GO:0005886,GO:0005576,GO:0032839,GO:1904115,GO:0005739,GO:0005759,GO:0005829","positive regulation of superoxide anion generation,response to antibiotic,platelet degranulation,transmission of nerve impulse,response to oxidative stress,embryo implantation,positive regulation of apoptotic process,thymus development,negative regulation of inflammatory response,response to heat,aging,response to nutrient levels,response to hydrogen peroxide,heart contraction,removal of superoxide radicals,retrograde axonal transport,positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,cellular response to ATP,response to amphetamine,response to reactive oxygen species,anterograde axonal transport,relaxation of vascular smooth muscle,response to superoxide,negative regulation of neuron apoptotic process,hydrogen peroxide biosynthetic process,response to copper ion,muscle cell cellular homeostasis,positive regulation of cytokine production,cell aging,regulation of organ growth,retina homeostasis,response to ethanol,regulation of multicellular organism growth,placenta development,response to antipsychotic drug,positive regulation of catalytic activity,peripheral nervous system myelin maintenance,auditory receptor cell stereocilium organization,positive regulation of phagocytosis,cellular response to potassium ion,ovarian follicle development,sensory perception of sound,negative regulation of apoptotic process,cellular iron ion homeostasis,regulation of blood pressure,activation of MAPK activity,glutathione metabolic process,regulation of T cell differentiation in thymus,regulation of GTPase activity,oxidation-reduction process,reactive oxygen species metabolic process,neurofilament cytoskeleton organization,response to carbon monoxide,cellular response to oxidative stress,locomotory behavior,response to drug,regulation of protein kinase activity,superoxide metabolic process,superoxide anion generation,spermatogenesis,regulation of mitochondrial membrane potential,myeloid cell homeostasis,response to axon injury,cellular response to cadmium ion,interleukin-12-mediated signaling pathway,negative regulation of cholesterol biosynthetic process,response to organic substance","protein binding,oxidoreductase activity,protein phosphatase 2B binding,antioxidant activity,metal ion binding,enzyme binding,superoxide dismutase activity,chaperone binding,Rac GTPase binding,copper ion binding,zinc ion binding,identical protein binding","peroxisome,nucleus,lysosome,secretory granule,neuronal cell body,nucleoplasm,dense core granule,extracellular exosome,neuron projection,cytoplasmic vesicle,extracellular space,protein-containing complex,cell,cytoplasm,mitochondrial intermembrane space,plasma membrane,extracellular region,dendrite cytoplasm,axon cytoplasm,mitochondrion,mitochondrial matrix,cytosol",All beta proteins,Immunoglobulin-like beta-sandwich,"Cu\,Zn superoxide dismutase-like","Cu\,Zn superoxide dismutase-like",P00441,SODC_HUMAN,0.99,,,1.66,-1.0,,,,1
1wfv,PF00595,PDZ,PDZ-like,PDZ domain,"IPR036034,IPR030036,IPR001478","PDZ superfamily,Membrane-associated guanylate kinase\, WW and PDZ domain-containing protein 2,PDZ domain","2.30.42.10,2.30.42.10","Mainly Beta,Mainly Beta","Roll,Roll","Pdz3 Domain,Pdz3 Domain","PDZ domain,Pdz3 Domain",,,,,"GO:0007165,GO:0060090,GO:0005923",signal transduction,molecular adaptor activity,bicellular tight junction,All beta proteins,PDZ domain-like,PDZ domain-like,PDZ domain,"Q86UL8,Q86UL8-2","MAGI2_HUMAN,MAGI2_HUMAN",0.06,,,7.33,-1.0,,,,1
1x62,PF00412,LIM,Zn_Beta_Ribbon,LIM domain,"IPR028537,IPR001781","PDZ and LIM domain protein 1,Zinc finger\, LIM-type",2.10.110.10,Mainly Beta,Ribbon,Cysteine Rich Protein,Cysteine Rich Protein,,,,,GO:0005856,,,cytoskeleton,Small proteins,Glucocorticoid receptor-like (DNA-binding domain),Glucocorticoid receptor-like (DNA-binding domain),LIM domain,O00151,PDLI1_HUMAN,0.2,,,14.16,-1.0,,,,1
