mouse_uniProt	human_uniProt
Q80Y19	Q6PI96
Q8K4L3	Q5VZK5
Q8R080	Q20WK2
E9Q3G8	P49790
Q9WU62	Q9NQS7
O88700	P54132
Q07139	Q9H8V3
O88286	O95785
Q8C0T5	O43166
Q2YDW7	Q9NQR1
E9PVX6	P46013
Q7TT79	Q8NEM0
B1AQJ2	Q9P275
Q6NZE7	Q7Z309
E9Q3P4	P49454
Q5HZG4	Q5VWG9
Q80Y32	Q9UGU5
Q7TPV4	Q9BQG0
P48754	P38398
P33611	Q14181
Q8CJF7	Q8WYP5
Q6ZQB6	O43314
A2APB8	Q9ULW0
D3Z6I7	Q05682
Q8K4B0	Q13330
Q80WQ8	Q6P0N0
Q9Z2U2	O60281
Q99L90	Q96EZ8
A2AWL7	Q8IWI9
B2RY56	P49756
Q8VE65	Q16514
Q91YK2	Q14684
P17095	P17096
Q61687	P46100
P33609	P09884
Q9CYA6	Q6NZY4
O08784	Q13428
Q8BHX3	Q53HL2
Q8VDF2	Q96T88
Q8CI95	Q9BXB4
Q68EF0	Q96QF0
Q5PSV9	Q14676
Q9DBY8	O15381
Q8BTI8	Q9UQ35
Q61464	Q14966
Q6NZJ6	Q04637
Q8CH25	Q9NWH9
Q8CID0	Q9H8E8
Q6ZQ33	Q9BXF6
Q6PR54	Q5UIP0
P48972	P10244
Q80WT5	Q6ULP2
Q8K4R9	Q15398
Q8CHP5	Q9BRP8
Q99P72	Q9NQC3
P26645	P29966
B1AXD8	Q53H80
Q7TME2	Q96R06
Q5F2E7	Q7Z417
Q80U93	P35658
Q9ERH4	Q9BXS6
O88271	Q9UEE9
Q6ZQ58	Q6PKG0
Q61937	P06748
Q9QY39	Q76G19
Q8BRH3	Q14CB8
Q99LI5	Q9Y2X9
Q80XP8	Q5HYJ3
Q9WUU9	O60318
Q8CHY6	Q86YP4
E9Q9R9	Q8TDM6	
Q9EQU5	Q01105
Q9WUF3	Q9UKL3
Q6KCD5	Q6KC79
Q52KI8	Q8IYB3
Q8K327	Q96JM3
Q9JJ66	Q12834
Q9CXH7	Q5FBB7
Q6P1H6	Q86XL3
P43276	P16401
Q8CH77	Q8NEY1
P19426	P18615
P51954	Q96PY6
O35382	Q96A65
Q6PFD9	P52948		
A2A482	Q9ULU4
A2A870	Q8TES7
P97929	P51587
P09405	P19338
Q5XJV7	Q9C0A6
Q80WE4	Q96Q89
Q3URK3	Q8NFU7
Q8BHE0	Q96HE9
Q8VDV3	Q8TBN0
A2AG50	Q96T17
Q80XU3	Q9H1E3
Q811P8	A7KAX9
Q99PP2	Q5VUA4
Q3TLR7	Q9NZJ0
Q8BZ47	O15014
Q80U49	Q9Y4F5
E9Q784	Q5T200
Q8K298	Q9NQW6
Q9R0L6	Q15154
E9Q6Y8	Q70CQ4
Q7TT28	Q8N1G1
Q01320	P11388
Q9EPQ8	Q9UGU0
E9Q394	Q12802
Q9D0L8	O43148
Q14AR7	Q9NV56
Q5BLK4	Q5VYS8
Q8R0A2	Q8NCP5
E9PYL2	Q9ULL5
P97931	P13051
Q9DBX1	Q9H4X1
Q80WC1	Q6ZU65
Q8BKC8	Q9UBF8
Q9CPY3	Q96FF9
Q99JF8	O75475
Q9D6Z1	O00567
Q8BIK4	Q9BZ29
P23242	P17302
Q9WTQ5	Q02952
Q9QYB5	Q9UEY8
Q922U1	O43395
Q3U3S3	Q8N0S6
Q6PGL7	Q641Q2
P15864	P16403
Q9ERD6	Q86X27
Q9Z1X4	Q12906
E9Q3R9	Q9ULJ3
Q9QZQ1	P55196
Q8CDG3	Q96JH7
E9PWW9	Q96T23
F6ZDS4	P12270		
O70405	O75385
Q6NZF1	O75152
Q61666	P54198
O08696	Q08050
Q8CFC7	Q8N2M8
Q9WU42	Q9Y618
Q8BX22	Q9UJQ4
Q4VA53	Q9NTI5
Q497V5	Q8N5C6
Q3UHJ0	Q2M2I8
Q99NB9	O75533
P47806	P08151
Q80X50	Q14157
Q6P7W0	Q9GZR1
G3X9J0	O60292		
P08775	P24928
P70399	Q12888
Q9JIX8	Q9UKV3
Q6ZPI0	Q6IE81
P49452	Q03188
Q9WTK2	Q9Y232
Q61029	P42167
E9Q7G0	Q14980
Q9QYY0	Q13480
Q3TKT4	P51532
Q8K019	Q9NYF8
E9Q7F2	Q8NCN4
O70133	Q08211
Q8R418	Q9UPY3
Q09XV5	Q9HCK8
Q9ERR1	Q9GZM8
P13405	P06400
P97452	Q14137
Q5HZI1	Q9ULD2
Q6PAL7	Q5TGY3
Q922J3	P30622
B2RRE4	Q9C0D4
Q08639	Q14186
Q9ERG0	Q9UHB6
Q3UIL6	Q6IQ23
Q8K212	Q6VY07
Q924A2	Q96RK0
Q80WJ7	Q86UE4
Q9ERU9	P49792
Q3UH06	Q92766
Q80TJ7	Q9UPP1
Q9Z2Q2	Q1ED39
O88477	Q9NZI8
Q9D8S3	Q9NP61
Q9JI44	Q9NPF5
Q9DBR7	O14974
E9Q2Z1	Q9BXF3
Q69ZK6	Q15652
Q9ES52	Q92835
Q9DCT6	Q8IXM2
Q91VL8	Q9NYB0
A2A7S8	Q9P206
P35601	P35251
Q9ER74	Q9NSC2
Q3UZ39	Q32MZ4
