pdb_id,experimental_method,experiment_data_available,title,entry_authors,sample_preparation_method,detector,detector_type,synchrotron_beamline,beam_source_name,diffraction_protocol,structure_determination_method,refinement_software,spacegroup,beam_source_type,synchrotron_site,structure_solution_software,data_reduction_software,data_scaling_software,phasing_method,SG_center_name,SG_full_name,crystallisation_reservoir,crystallisation_ph,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,entity_weight,number_of_polymers,number_of_polymer_residues,number_of_polymer_entities,number_of_bound_entities,number_of_protein_chains,max_observed_residues,molecule_name,all_molecule_name,modified_residue_flag,molecule_type,mutation_type,molecule_synonym,gene_name,entity_id
2ga5,Solution NMR,y,yeast frataxin,"He Y,Alam SL,Proteasa SV,Zhang Y,Lesuisse E,Dancis A",Engineered,,,,,Single wavelength,,,P 1,,,,,,,,,,,PF01491,Frataxin_Cyay,,Frataxin-like domain,"IPR017789,IPR002908,IPR036524","Frataxin,Frataxin/CyaY,Frataxin/CyaY superfamily",3.30.920.10,Alpha Beta,2-Layer Sandwich,"Metal Transport\, Frataxin; Chain A",Frataxin/CyaY,1.16.3.1,Ferroxidase,Fe(II):oxygen oxidoreductase,"Oxidoreductases,Oxidizing metal ions,With oxygen as acceptor,Ferroxidase","GO:0016226,GO:0055114,GO:0008199,GO:0004322,GO:0005739","iron-sulfur cluster assembly,oxidation-reduction process","ferric iron binding,ferroxidase activity",mitochondrion,Alpha and beta proteins (a+b),N domain of copper amine oxidase-like,Frataxin/Nqo15-like,Frataxin-like,Q07540,FRDA_YEAST,0.7,,,13795.344,1,246,1,0,1,123,"Frataxin homolog\, mitochondrial",,N,Protein,Cloning artifact,"Frataxin homolog\, mitochondrial,Frataxin homolog intermediate form","YDL120W,YFH1",1
2odx,Solution NMR,y,Solution structure of Zn(II)Cox4,"Coyne III JH,Ciofi-Baffoni S",Engineered,,,,,Single wavelength,,,,,,,,,,,,,,,,,,IPR002124,"Cytochrome c oxidase\, subunit Vb",2.60.260.40,Mainly Beta,Sandwich,HSP40/DNAj peptide-binding domain,q5lls5 like domains,1.9.3.1,Cytochrome-c oxidase,Ferrocytochrome-c:oxygen oxidoreductase,"Oxidoreductases,Acting on a heme group of donors,With oxygen as acceptor,Cytochrome-c oxidase","GO:0004129,GO:0005740",,cytochrome-c oxidase activity,mitochondrial envelope,,,,,P04037,COX4_YEAST,0.5,,,8997.175,1,161,1,1,1,54,"Cytochrome c oxidase subunit 4\, mitochondrial",,N,Protein,Cloning artifact,"Cytochrome c oxidase polypeptide IV,Cytochrome c oxidase subunit 4\, mitochondrial","G1362,COX4,YGL187C",1
1kn5,Solution NMR,,SOLUTION STRUCTURE OF ARID DOMAIN OF ADR6 FROM SACCHAROMYCES CEREVISIAE,"Tu X,Wu J,Xu Y,Shi Y",Engineered,,,,,Single wavelength,,,,,,,,,,,,,,PF01388,ARID,HTH,ARID/BRIGHT DNA binding domain,"IPR001606,IPR036431","ARID DNA-binding domain,ARID DNA-binding domain superfamily",1.10.150.60,Mainly Alpha,Orthogonal Bundle,DNA polymerase; domain 1,ARID DNA-binding domain,,,,,GO:0003677,,DNA binding,,All alpha proteins,DNA/RNA-binding 3-helical bundle,ARID-like,ARID domain,P09547,SWI1_YEAST,0.08,5061,,14566.8,1,246,1,0,1,102,SWI/SNF chromatin-remodeling complex subunit SWI1,,N,Protein,"Expression tag,Cloning artifact","Transcription regulatory protein SWI1,Regulatory protein GAM3,SWI/SNF chromatin-remodeling complex subunit SWI1,Transcription regulatory protein ADR6,SWI/SNF complex subunit SWI1","LPA1,ADR6,YPL016W,SWI1,GAM3",1
2rqv,Solution NMR,y,Solution structure of SH3CI domain of Bem1p,"Takaku T,Ogura K,Inagaki F",Engineered,,,,,,,,,,,,,,,,,,,PF00018,SH3_1,SH3,SH3 domain,"IPR001452,IPR036028,IPR030507,IPR035549","SH3 domain,SH3-like domain superfamily,Bem1/Scd2,Bem1/Scd2\, SH3 domain 2",2.30.30.40,Mainly Beta,Roll,SH3 type barrels.,SH3 Domains,,,,,GO:0000902,cell morphogenesis,,,,,,,P29366,BEM1_YEAST,0.19,,,11682.266,1,216,1,0,1,108,Bud emergence protein 1,,N,Protein,Expression tag,"Bud emergence protein 1,Suppressor of RHO3 protein 1","SRO1,BEM1,YBR200W,YBR1412",1
1sse,Solution NMR,y,Solution structure of the oxidized form of the Yap1 redox domain,"Wood MJ,Storz G,Tjandra N",Engineered,,,,,Single wavelength,,,P 1,,,,,,,,,,,,,,,"IPR013910,IPR023167","Transcription factor PAP1,Yap1 redox domain superfamily",1.10.238.100,Mainly Alpha,Orthogonal Bundle,Recoverin; domain 1,YAP1 redox domain. Chain B,,,,,,,,,Small proteins,YAP1 redox domain,YAP1 redox domain,YAP1 redox domain,P19880,AP1_YEAST,0.13,,,9456.393,2,242,2,0,2,86,AP-1-like transcription factor YAP1,,N,Protein,,"Phenanthroline resistance protein PAR1,Pleiotropic drug resistance protein PDR4,AP-1-like transcription factor YAP1","PAR1,YAP1,PDR4,YM9571.12,SNQ3,YML007W",2
5lvf,Solution NMR,y,Solution structure of Rtt103 CTD-interacting domain bound to a Thr4 phosphorylated CTD peptide,"Jasnovidova O,Kubicek K,Krejcikova M,Stefl R",Synthetic,,,,,,,,,,,,,,,,,,,,,,,IPR000684,"RNA polymerase II\, heptapeptide repeat\, eukaryotic",,,,,,2.7.7.6,DNA-directed RNA polymerase,Nucleoside-triphosphate:RNA nucleotidyltransferase (DNA-directed),"Transferases,Transferring phosphorus-containing groups,Nucleotidyltransferases,DNA-directed RNA polymerase","GO:0006366,GO:0003677,GO:0005665",transcription by RNA polymerase II,DNA binding,"RNA polymerase II\, core complex",,,,,P04050,RPB1_YEAST,0.01,34041,,1721.669,2,158,2,0,2,16,DNA-directed RNA polymerase II subunit RPB1,,Y,Protein,,"DNA-directed RNA polymerase II subunit RPB1,RNA polymerase II subunit 1,RNA polymerase II subunit B1,DNA-directed RNA polymerase III largest subunit,RNA polymerase II subunit B220","RPB1,SUA8,RPB220,RPO21,YDL140C,D2150",2
1fhr,Solution NMR,,SOLUTION STRUCTURE OF THE FHA2 DOMAIN OF RAD53 COMPLEXED WITH A PHOSPHOTYROSYL PEPTIDE,"Byeon I-JL,Liao H,Yongkiettrakul S,Tsai M-D",Engineered,,,,,,,,P 1,,,,,,,,,,,PF00498,FHA,SMAD-FHA,FHA domain,"IPR000253,IPR008984","Forkhead-associated (FHA) domain,SMAD/FHA domain superfamily",2.60.200.20,Mainly Beta,Sandwich,Tumour Suppressor Smad4,Tumour Suppressor Smad4,2.7.12.1,Dual-specificity kinase,ATP:protein phosphotransferase (Ser/Thr- and Tyr-phosphorylating),"Transferases,Transferring phosphorus-containing groups,Dual-specificity kinases (those acting on Ser/Thr and Tyr residues),Dual-specificity kinase",,,,,All beta proteins,SMAD/FHA domain,SMAD/FHA domain,FHA domain,P22216,RAD53_YEAST,0.19,,,18148.758,2,330,2,0,2,158,Serine/threonine-protein kinase RAD53,,N,Protein,,"Serine/threonine-protein kinase RAD53,Serine-protein kinase 1,CHEK2 homolog","RAD53,SAD1,YPL153C,MEC2,P2588,SPK1",1
2l00,Solution NMR,y,Solution structure of the non-covalent complex of the ZNF216 A20 domain with ubiquitin,"Garner TP,Long JE,Searle MS,Layfield R",Engineered,,,,,,,,,,,,,,,,,,,PF00240,ubiquitin,Ubiquitin,Ubiquitin family,"IPR019956,IPR029071,IPR000626","Ubiquitin domain,Ubiquitin-like domain superfamily,Ubiquitin-like domain",3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",,,,,,,,,,,,,P0CG63,UBI4P_YEAST,0.2,17023,,8568.769,2,277,2,1,2,71,Ubiquitin,,N,Protein,,"Ubiquitin,Polyubiquitin","UBI4,SCD2,YLL039C",2
1tba,Solution NMR,y,"SOLUTION STRUCTURE OF A TBP-TAFII230 COMPLEX: PROTEIN MIMICRY OF THE MINOR GROOVE SURFACE OF THE TATA BOX UNWOUND BY TBP, NMR, 25 STRUCTURES","Liu D,Ishima R,Tong KI,Bagby S,Kokubo T,Muhandiram DR,Kay LE,Nakatani Y,Ikura M",Engineered,,,,,,,X-PLOR,P 1,,,X-PLOR,,,,,,,,PF00352,TBP,TBP-like,"Transcription factor TFIID (or TATA-binding protein\, TBP)","IPR012295,IPR033710,IPR000814","TBP domain superfamily,TATA-box binding protein\, eukaryotic,TATA-box binding protein",3.30.310.10,Alpha Beta,2-Layer Sandwich,TATA-Binding Protein,TATA-Binding Protein,,,,,"GO:0006352,GO:0003677","DNA-templated transcription\, initiation",DNA binding,,Alpha and beta proteins (a+b),TBP-like,TATA-box binding protein-like,"TATA-box binding protein (TBP)\, C-terminal domain",P13393,TBP_YEAST,0.75,,,20120.754,2,494,2,0,2,180,TATA-box-binding protein,,N,Protein,,"Transcription initiation factor TFIID TBP subunit,TATA-box-binding protein,TBP,TATA sequence-binding protein,TATA-binding factor,TATA-box factor,Transcription factor D","SPT15,TBP1,YER148W,BTF1",2
6aly,Solution NMR,y,Solution structure of yeast Med15 ABD2 residues 277-368,"Tuttle LM,Pacheco D,Warfield L,Hahn S,Klevit RE",Engineered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P19659,MED15_YEAST,0.09,30330,,10525.714,1,92,1,0,1,92,Mediator of RNA polymerase II transcription subunit 15,,N,Protein,,"Basal expression activator protein 1,Mediator complex subunit 15,Defective silencing suppressor protein 4,Ty insertion suppressor protein 13,Autonomous replication regulatory protein 3,Mediator of RNA polymerase II transcription subunit 15,Transcription regulatory protein GAL11","RAR3,SPT13,MED15,GAL11,YOL051W,ABE1,SDS4",1
