#### Uniprot to Pfam mapping ####
#### UnpAccession: accession of the Uniprot entry ####
#### UnpId : id of the Uniprot entry ####
#### UnpDescription : short description of UniProt entry ####
#### Organism : scientific name of the source organism ####
#### PfamId : id of Pfam family ####
#### PfamName : name of Pfam family ####
#### PfamDescription : short description of Pfam family ####
#### UnpRangeStart, UnpRangeEnd : starting and ending indices in UniProt sequence for the Pfam domain mapping ####
#UnpAccession	UnpId	UnpDescription	Organism	PfamId	PfamName	PfamDescription	UnpRangeStart	UnpRangeEnd
P00338	L-lactate dehydrogenase A chain	LDHA_HUMAN	Homo sapiens	PF00056	Ldh_1_N	lactate/malate dehydrogenase, NAD binding domain	21	160
P00338	L-lactate dehydrogenase A chain	LDHA_HUMAN	Homo sapiens	PF02866	Ldh_1_C	lactate/malate dehydrogenase, alpha/beta C-terminal domain	163	331
#### Uniprot to PDB mapping ####
#### UnpAccession : accession of the UniProt entry ####
#### UnpRangeStart, UnpRangeEnd : starting and ending indices in UniProt sequence corresponding to the PDB residue range ####
#### PDBid : PDB entry id to which the PDB residue range belongs ####
#### PDBtitle : Title of the PDB entry id ####
#### PDBseqStart, PDBseqEnd : starting and ending indices in sequence of the PDB chain (SEQRES record) containing the mapped PDB residues ####
#### PDBchain : PDB chain identifier of the PDB residues mapped to UniProt range ####
#### PDBresidueNumberStart, PDBresidueNumberEnd : starting and ending residue numbers in PDB file for this mapping - sometimes the might contain an insertion code, e.g. 40:A ####
#UnpAccession	UnpRangeStart	UnpRangeEnd	PDBid	PDBtitle	PDBseqStart	PDBseqEnd	PDBchain	PDBresidueNumberStart	PDBresidueNumberEnd
#204 mappings in 204 PDB chains in 38 PDB entries
P00338	1	332	5w8i	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 23 and Zinc	1	332	B	None	331
P00338	1	332	5w8i	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 23 and Zinc	1	332	D	None	331
P00338	1	332	5w8i	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 23 and Zinc	1	332	A	None	331
P00338	1	332	5w8i	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 23 and Zinc	1	332	C	None	331
P00338	1	332	6mv8	LDHA structure in complex with inhibitor 14	1	332	B	None	331
P00338	1	332	6mv8	LDHA structure in complex with inhibitor 14	1	332	D	None	331
P00338	1	332	6mv8	LDHA structure in complex with inhibitor 14	1	332	A	None	331
P00338	1	332	6mv8	LDHA structure in complex with inhibitor 14	1	332	C	None	331
P00338	1	332	5w8l	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 59 and NADH	1	332	B	None	331
P00338	1	332	5w8l	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 59 and NADH	1	332	D	None	331
P00338	1	332	5w8l	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 59 and NADH	1	332	A	None	331
P00338	1	332	5w8l	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 59 and NADH	1	332	C	None	331
P00338	1	332	5w8h	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 11	1	332	B	None	331
P00338	1	332	5w8h	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 11	1	332	D	None	331
P00338	1	332	5w8h	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 11	1	332	A	None	331
P00338	1	332	5w8h	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 11	1	332	C	None	331
P00338	1	332	5w8j	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 29	1	332	B	None	331
P00338	1	332	5w8j	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 29	1	332	D	None	331
P00338	1	332	5w8j	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 29	1	332	A	None	331
P00338	1	332	5w8j	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 29	1	332	C	None	331
P00338	1	332	5w8k	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 29 and NADH	1	332	B	None	331
P00338	1	332	5w8k	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 29 and NADH	1	332	D	None	331
P00338	1	332	5w8k	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 29 and NADH	1	332	A	None	331
P00338	1	332	5w8k	Crystal Structure of Lactate Dehydrogenase A in complex with inhibitor compound 29 and NADH	1	332	C	None	331
P00338	1	332	6mva	LDHA structure in complex with inhibitor 14	1	332	B	None	331
P00338	1	332	6mva	LDHA structure in complex with inhibitor 14	1	332	D	None	331
P00338	1	332	6mva	LDHA structure in complex with inhibitor 14	1	332	A	None	331
P00338	1	332	6mva	LDHA structure in complex with inhibitor 14	1	332	C	None	331
P00338	1	332	4zvv	Lactate dehydrogenase A in complex with a trisubstituted piperidine-2,4-dione inhibitor GNE-140	1	332	B	None	331
P00338	1	332	4zvv	Lactate dehydrogenase A in complex with a trisubstituted piperidine-2,4-dione inhibitor GNE-140	1	332	D	None	331
P00338	1	332	4zvv	Lactate dehydrogenase A in complex with a trisubstituted piperidine-2,4-dione inhibitor GNE-140	1	332	A	None	331
P00338	1	332	4zvv	Lactate dehydrogenase A in complex with a trisubstituted piperidine-2,4-dione inhibitor GNE-140	1	332	C	None	331
P00338	2	332	1i10	HUMAN MUSCLE L-LACTATE DEHYDROGENASE M CHAIN, TERNARY COMPLEX WITH NADH AND OXAMATE	1	331	E	1	331
P00338	2	332	1i10	HUMAN MUSCLE L-LACTATE DEHYDROGENASE M CHAIN, TERNARY COMPLEX WITH NADH AND OXAMATE	1	331	D	1	331
P00338	2	332	1i10	HUMAN MUSCLE L-LACTATE DEHYDROGENASE M CHAIN, TERNARY COMPLEX WITH NADH AND OXAMATE	1	331	A	1	331
