#### Uniprot to Pfam mapping ####
#### UnpAccession: accession of the Uniprot entry ####
#### UnpId : id of the Uniprot entry ####
#### UnpDescription : short description of UniProt entry ####
#### Organism : scientific name of the source organism ####
#### PfamId : id of Pfam family ####
#### PfamName : name of Pfam family ####
#### PfamDescription : short description of Pfam family ####
#### UnpRangeStart, UnpRangeEnd : starting and ending indices in UniProt sequence for the Pfam domain mapping ####
#UnpAccession	UnpId	UnpDescription	Organism	PfamId	PfamName	PfamDescription	UnpRangeStart	UnpRangeEnd
P24928	DNA-directed RNA polymerase subunit	RPB1_HUMAN	Homo sapiens	PF00623	RNA_pol_Rpb1_2	RNA polymerase Rpb1, domain 2	356	521
P24928	DNA-directed RNA polymerase subunit	RPB1_HUMAN	Homo sapiens	PF04983	RNA_pol_Rpb1_3	RNA polymerase Rpb1, domain 3	524	692
P24928	DNA-directed RNA polymerase subunit	RPB1_HUMAN	Homo sapiens	PF04990	RNA_pol_Rpb1_7	RNA polymerase Rpb1, domain 7	1164	1299
P24928	DNA-directed RNA polymerase subunit	RPB1_HUMAN	Homo sapiens	PF04992	RNA_pol_Rpb1_6	RNA polymerase Rpb1, domain 6	896	1079
P24928	DNA-directed RNA polymerase subunit	RPB1_HUMAN	Homo sapiens	PF04997	RNA_pol_Rpb1_1	RNA polymerase Rpb1, domain 1	15	354
P24928	DNA-directed RNA polymerase subunit	RPB1_HUMAN	Homo sapiens	PF04998	RNA_pol_Rpb1_5	RNA polymerase Rpb1, domain 5	830	1427
P24928	DNA-directed RNA polymerase subunit	RPB1_HUMAN	Homo sapiens	PF05000	RNA_pol_Rpb1_4	RNA polymerase Rpb1, domain 4	716	823
P24928	DNA-directed RNA polymerase subunit	RPB1_HUMAN	Homo sapiens	PF05001	RNA_pol_Rpb1_R	RNA polymerase Rpb1 C-terminal repeat	1948	1960
P24928	DNA-directed RNA polymerase subunit	RPB1_HUMAN	Homo sapiens	PF05001	RNA_pol_Rpb1_R	RNA polymerase Rpb1 C-terminal repeat	1941	1954
P24928	DNA-directed RNA polymerase subunit	RPB1_HUMAN	Homo sapiens	PF05001	RNA_pol_Rpb1_R	RNA polymerase Rpb1 C-terminal repeat	1931	1947
P24928	DNA-directed RNA polymerase subunit	RPB1_HUMAN	Homo sapiens	PF05001	RNA_pol_Rpb1_R	RNA polymerase Rpb1 C-terminal repeat	1924	1936
