#### Uniprot to Pfam mapping ####
#### UnpAccession: accession of the Uniprot entry ####
#### UnpId : id of the Uniprot entry ####
#### UnpDescription : short description of UniProt entry ####
#### Organism : scientific name of the source organism ####
#### PfamId : id of Pfam family ####
#### PfamName : name of Pfam family ####
#### PfamDescription : short description of Pfam family ####
#### UnpRangeStart, UnpRangeEnd : starting and ending indices in UniProt sequence for the Pfam domain mapping ####
#UnpAccession	UnpId	UnpDescription	Organism	PfamId	PfamName	PfamDescription	UnpRangeStart	UnpRangeEnd
P12270	Nucleoprotein TPR	TPR_HUMAN	Homo sapiens	PF07926	TPR_MLP1_2	TPR/MLP1/MLP2-like protein	1038	1166
#### Uniprot to PDB mapping ####
#### UnpAccession : accession of the UniProt entry ####
#### UnpRangeStart, UnpRangeEnd : starting and ending indices in UniProt sequence corresponding to the PDB residue range ####
#### PDBid : PDB entry id to which the PDB residue range belongs ####
#### PDBtitle : Title of the PDB entry id ####
#### PDBseqStart, PDBseqEnd : starting and ending indices in sequence of the PDB chain (SEQRES record) containing the mapped PDB residues ####
#### PDBchain : PDB chain identifier of the PDB residues mapped to UniProt range ####
#### PDBresidueNumberStart, PDBresidueNumberEnd : starting and ending residue numbers in PDB file for this mapping - sometimes the might contain an insertion code, e.g. 40:A ####
#UnpAccession	UnpRangeStart	UnpRangeEnd	PDBid	PDBtitle	PDBseqStart	PDBseqEnd	PDBchain	PDBresidueNumberStart	PDBresidueNumberEnd
#12 mappings in 12 PDB chains in 4 PDB entries
P12270	2	142	5to6	Structure of the TPR oligomerization domain	1	141	A	2	142
P12270	2	142	5to6	Structure of the TPR oligomerization domain	1	141	B	None	None
P12270	2	142	5to6	Structure of the TPR oligomerization domain	1	141	D	None	142
P12270	2	142	5to6	Structure of the TPR oligomerization domain	1	141	C	None	142
P12270	2	142	5to7	Structure of the TPR oligomerization domain	1	141	C	2	142
P12270	2	142	5to7	Structure of the TPR oligomerization domain	1	141	A	2	142
P12270	2	142	5to7	Structure of the TPR oligomerization domain	1	141	D	2	142
P12270	2	142	5to7	Structure of the TPR oligomerization domain	1	141	B	2	142
P12270	2	142	5tvb	Structure of the TPR oligomerization domain	1	141	B	None	142
P12270	2	142	5tvb	Structure of the TPR oligomerization domain	1	141	A	None	142
P12270	2	142	5to5	Structure of the TPR oligomerization domain	1	141	B	None	142
P12270	2	142	5to5	Structure of the TPR oligomerization domain	1	141	A	2	142

