ACC#	Xenopus	Kinase
C9JLW8	f195b	MAPK
O00141	sgk1a	MAPK
O00213	apbb1	MAPK
O00257	cbx4	MAPK
O00327	bmal1	MAPK
O00418	ef2k	MAPK
O00429	dnm1l	MAPK
O00562	pitm2	MAPK
O14994	syn3	MAPK
O15151	mdm4	MAPK
O15198	smad9	MAPK
O15525	mafk	MAPK
O43257	znhi1	MAPK
O43379	wdr62	MAPK
O43464	htra2	MAPK
O43521	b2l11	MAPK
O43524	foxo3	MAPK
O43602	dclk2	MAPK
O43623	snai2	MAPK
O43684	bub3	MAPK
O60244	med14	MAPK
O60331	pi51a	MAPK
O60381	hbp1	MAPK
O60504	vinex	MAPK
O60716	ctnd1	MAPK
O75581	lrp6	MAPK
O75582	ks6a5	MAPK
O94811	tppp3	MAPK
O94953	kdm4b	MAPK
O95140	mfn2	MAPK
O95551	tydp2	MAPK
O95600	klf8	MAPK
O95644	nfac1	MAPK
O95817	bag3	MAPK
O95863	snai1	MAPK
P00533	egfr	MAPK
P01100	fos	MAPK
P01106	myc1	MAPK
P02511	cryab	MAPK
P02686	mbp	MAPK
P03372	esr1	MAPK
P04049	araf	MAPK
P04150	gcr	MAPK
P04179	sodm	MAPK
P04626	erbb2	MAPK
P04637	p53	MAPK
P04792	hspb1	MAPK
P05067	a4	MAPK
P05198	if2a	MAPK
P05412	jun	MAPK
P05787	k2c8	MAPK
P06239	lck	MAPK
P06400	rb	MAPK
P06401	prgr	MAPK
P06702	s10ab	MAPK
P07101	ty3h	MAPK
P07196	nfl	MAPK
P07900	hs90a	MAPK
P07954	fumh	MAPK
P08047	sp1	MAPK
P09874	parp1	MAPK
P09917	lox5	MAPK
P10242	myb	MAPK
P10275	andr	MAPK
P10276	rara	MAPK
P10301	rras2	MAPK
P10415	bcl2	MAPK
P10636	tau	MAPK
P10828	thbb	MAPK
P11308	erg	MAPK
P11362	fgfr1	MAPK
P11388	top2a	MAPK
P11802	cdk4	MAPK
P12980	lyl1	MAPK
P13473	lamp2	MAPK
P13591	nca12	MAPK
P13631	rarg	MAPK
P13726	tf	MAPK
P13807	gys1	MAPK
P14598	ncf1	MAPK
P14618	kpym	MAPK
P14635	ccnb1	MAPK
P14784	il2rb	MAPK
P14921	ets1a	MAPK
P15056	braf	MAPK
P15172	myoda	MAPK
P15336	atf2	MAPK
P15923	tfe2	MAPK
P17181	inar1	MAPK
P17275	junb	MAPK
P17302	cxa1	MAPK
P17535	jund	MAPK
P17542	tal1	MAPK
P17544	atf7	MAPK
P17655	can2	MAPK
P17676	cebpb	MAPK
P17844	ddx5	MAPK
P17861	xbp1	MAPK
P18850	atf6a	MAPK
P19419	elk1	MAPK
P19525	e2ak2	MAPK
P19634	sl9a1	MAPK
P19793	rxra	MAPK
P19878	ncf2	MAPK
P20265	p3f2b	MAPK
P20339	rab5a	MAPK
P21397	aofa	MAPK
P21802	fgfr2	MAPK
P22415	usf1	MAPK
P22736	nr4a1	MAPK
