#### Uniprot to Pfam mapping ####
#### UnpAccession: accession of the Uniprot entry ####
#### UnpId : id of the Uniprot entry ####
#### UnpDescription : short description of UniProt entry ####
#### Organism : scientific name of the source organism ####
#### PfamId : id of Pfam family ####
#### PfamName : name of Pfam family ####
#### PfamDescription : short description of Pfam family ####
#### UnpRangeStart, UnpRangeEnd : starting and ending indices in UniProt sequence for the Pfam domain mapping ####
#UnpAccession	UnpId	UnpDescription	Organism	PfamId	PfamName	PfamDescription	UnpRangeStart	UnpRangeEnd
Q8WX93	palladin	PALLD_HUMAN	Homo sapiens	PF07679	I-set	Immunoglobulin I-set domain	1234	1325
Q8WX93	palladin	PALLD_HUMAN	Homo sapiens	PF07679	I-set	Immunoglobulin I-set domain	1135	1225
Q8WX93	palladin	PALLD_HUMAN	Homo sapiens	PF07679	I-set	Immunoglobulin I-set domain	1001	1092
Q8WX93	palladin	PALLD_HUMAN	Homo sapiens	PF07679	I-set	Immunoglobulin I-set domain	441	538
Q8WX93	palladin	PALLD_HUMAN	Homo sapiens	PF07679	I-set	Immunoglobulin I-set domain	271	361
#### Uniprot to PDB mapping ####
#### UnpAccession : accession of the UniProt entry ####
#### UnpRangeStart, UnpRangeEnd : starting and ending indices in UniProt sequence corresponding to the PDB residue range ####
#### PDBid : PDB entry id to which the PDB residue range belongs ####
#### PDBtitle : Title of the PDB entry id ####
#### PDBseqStart, PDBseqEnd : starting and ending indices in sequence of the PDB chain (SEQRES record) containing the mapped PDB residues ####
#### PDBchain : PDB chain identifier of the PDB residues mapped to UniProt range ####
#### PDBresidueNumberStart, PDBresidueNumberEnd : starting and ending residue numbers in PDB file for this mapping - sometimes the might contain an insertion code, e.g. 40:A ####
#UnpAccession	UnpRangeStart	UnpRangeEnd	PDBid	PDBtitle	PDBseqStart	PDBseqEnd	PDBchain	PDBresidueNumberStart	PDBresidueNumberEnd
#2 mappings in 2 PDB chains in 2 PDB entries
Q8WX93	1000	1096	2dm2	Solution structure of the first ig domain of human palladin	8	104	A	8	104
Q8WX93	1133	1229	2dm3	Solution structure of the second ig domain of human palladin	8	104	A	8	104

