#### Uniprot to Pfam mapping ####
#### UnpAccession: accession of the Uniprot entry ####
#### UnpId : id of the Uniprot entry ####
#### UnpDescription : short description of UniProt entry ####
#### Organism : scientific name of the source organism ####
#### PfamId : id of Pfam family ####
#### PfamName : name of Pfam family ####
#### PfamDescription : short description of Pfam family ####
#### UnpRangeStart, UnpRangeEnd : starting and ending indices in UniProt sequence for the Pfam domain mapping ####
#UnpAccession	UnpId	UnpDescription	Organism	PfamId	PfamName	PfamDescription	UnpRangeStart	UnpRangeEnd
Q5JTZ9	Alanine--tRNA ligase, mitochondrial	SYAM_HUMAN	Homo sapiens	PF01411	tRNA-synt_2c	tRNA synthetases class II (A)	41	624
Q5JTZ9	Alanine--tRNA ligase, mitochondrial	SYAM_HUMAN	Homo sapiens	PF07973	tRNA_SAD	Threonyl and Alanyl tRNA synthetase second additional domain	721	778
#### Uniprot to PDB mapping ####
#### UnpAccession : accession of the UniProt entry ####
#### UnpRangeStart, UnpRangeEnd : starting and ending indices in UniProt sequence corresponding to the PDB residue range ####
#### PDBid : PDB entry id to which the PDB residue range belongs ####
#### PDBtitle : Title of the PDB entry id ####
#### PDBseqStart, PDBseqEnd : starting and ending indices in sequence of the PDB chain (SEQRES record) containing the mapped PDB residues ####
#### PDBchain : PDB chain identifier of the PDB residues mapped to UniProt range ####
#### PDBresidueNumberStart, PDBresidueNumberEnd : starting and ending residue numbers in PDB file for this mapping - sometimes the might contain an insertion code, e.g. 40:A ####
#UnpAccession	UnpRangeStart	UnpRangeEnd	PDBid	PDBtitle	PDBseqStart	PDBseqEnd	PDBchain	PDBresidueNumberStart	PDBresidueNumberEnd
#10 mappings in 10 PDB chains in 3 PDB entries
Q5JTZ9	783	985	6now	Human Alanyl-tRNA Synthetase C-Ala domain	1	203	A	None	985
Q5JTZ9	783	985	6now	Human Alanyl-tRNA Synthetase C-Ala domain	1	203	B	None	985
Q5JTZ9	802	985	6nly	Fragment of human Alanyl-tRNA Synthetase C-Ala domain	1	184	C	None	985
Q5JTZ9	802	985	6nly	Fragment of human Alanyl-tRNA Synthetase C-Ala domain	1	184	B	None	985
Q5JTZ9	802	985	6nly	Fragment of human Alanyl-tRNA Synthetase C-Ala domain	1	184	D	None	985
Q5JTZ9	802	985	6nly	Fragment of human Alanyl-tRNA Synthetase C-Ala domain	1	184	A	None	985
Q5JTZ9	873	985	6nlq	Human Alanyl-tRNA Synthetase C-terminal domain	1	113	C	None	985
Q5JTZ9	873	985	6nlq	Human Alanyl-tRNA Synthetase C-terminal domain	1	113	A	None	985
Q5JTZ9	873	985	6nlq	Human Alanyl-tRNA Synthetase C-terminal domain	1	113	D	None	985
Q5JTZ9	873	985	6nlq	Human Alanyl-tRNA Synthetase C-terminal domain	1	113	B	None	985

