ACC#	Xenopus	Kinase
A1KXE4	f168b	CDK
A3KN83	sbno1	AURK
C9JLW8	f195b	MAPK
O00139	kif2a	PLK
O00141	sgk1a	MAPK,NEK
O00151	pdli1	CDK
O00213	apbb1	MAPK
O00257	cbx4	MAPK
O00267	spt5h	CDK
O00311	cdc7	CDK
O00327	bmal1	MAPK
O00399	dctn6	CDK
O00410	ipo5	PLK
O00418	ef2k	CDK,MAPK
O00429	dnm1l	CDK,MAPK
O00443	p3c2a	CDK
O00444	plk4	PLK
O00459	p85b	PLK
O00512	bcl9	CDK
O00560	sdcb1	AURK
O00562	pitm2	CDK,MAPK
O00566	mpp10	AURK
O00567	nop56	AURK,CDK,PLK
O00571	ddx3	AURK,CDK
O14497	ari1a	CDK
O14530	txnd9	PLK
O14613	borg1	PLK
O14641	dvl2	PLK
O14686	mll2	CDK
O14715	rnb3l	CDK
O14745	nhrf1	CDK
O14757	chk1	CDK
O14773	tpp1	CDK
O14776	tcrg1	PLK
O14777	ndc80	AURK,NEK
O14920	ikkb	PLK
O14950	mlrn	AURK
O14965	aurab	AURK,PLK
O14974	mypt1	CDK
O14980	xpo1	CDK,PLK
O14994	syn3	CDK,MAPK
O15014	zn609	CDK
O15027	sc16a	CDK
O15066	kif3b	AURK
O15084	anr28	PLK
O15143	arc1b	AURK
O15151	mdm4	CDK,MAPK
O15198	smad9	MAPK
O15287	fancg	CDK
O15350	p73	AURK,CDK,PLK
O15355	ppm1g	PLK
O15360	fanca	AURK,NEK
O15392	bi52a	AURK,CDK,PLK
O15446	rpa34	AURK,CDK
O15523	ddx3	AURK
O15525	mafk	MAPK
O15530	pdpk1	CDK
O43148	mces	CDK
O43166	si1l1	PLK
O43255	siah2	DYRK
O43257	znhi1	MAPK
O43303	cp110	CDK
O43379	wdr62	AURK,MAPK,PLK
O43395	prpf3	CDK
O43399	tpd54	PLK
O43463	suv91	CDK
O43464	htra2	MAPK
O43474	klf4	PLK
O43521	b2l11	AURK,CDK,MAPK
O43524	foxo3	CDK,MAPK
O43583	denr	AURK
O43597	spy2	DYRK
O43602	dclk2	DYRK,MAPK
O43623	snai2	CDK,MAPK
O43663	prc1	CDK,PLK
O43683	bub1	AURK,CDK
O43684	bub3	MAPK
O43852	calu	PLK
O43900	pric3	AURK
O60244	med14	MAPK
O60264	smca5	CDK
O60271	jip4	CDK,PLK
O60285	nuak1	CDK,PLK
O60331	pi51a	CDK,MAPK
O60341	kdm1a	CDK,PLK
O60343	tbcd4	AURK
O60347	tbc12	AURK
O60381	hbp1	MAPK
O60499	stx10	PLK
O60504	vinex	CDK,MAPK
O60563	ccnt1	PLK
O60566	bub1b	CDK,PLK
O60583	ccnt2	CDK
O60610	diap1	CDK
O60701	ugdh	CDK
O60716	ctnd1	MAPK
O60763	uso1	PLK
O60814	h2b	AURK
O60825	f262	AURK
O60841	if2p	PLK
O60879	diap3	AURK
O60885	brd2	CDK
O60934	nbn	CDK
O75116	rock2	PLK
O75122	cla1a	CDK,PLK
O75151	phf2	AURK,CDK
O75152	zc11a	AURK,CDK
O75154	rfip3	CDK
O75170	saps2	CDK,PLK
O75175	cnot3	CDK
O75179	anr17	CDK,PLK
O75306	ndus2	CDK
O75367	h2ay	CDK,PLK
O75369	flnb	PLK
O75391	spag7	AURK
O75396	sc22b	PLK
O75400	pr40a	AURK
O75410	tacc1	AURK
O75449	ktna1	DYRK
O75469	nr1h2	CDK
O75475	psip1	AURK,CDK,PLK
O75496	gemi	AURK
O75533	sf3b1	CDK,DYRK,PLK
O75581	lrp6	MAPK
O75582	ks6a5	MAPK
O75616	eral1	CDK
O75643	u520	PLK
O75665	ofd1	AURK
O75717	wdhd1	PLK
O75815	bcar3	AURK
O75940	spf30	CDK
O75962	trio	AURK
O76021	rl1d1	AURK,CDK
O76039	cdkl4	DYRK
O76064	rnf8a	CDK
O94761	recq4	CDK
O94776	mta2	CDK
O94782	ubp1	CDK
O94804	stk10	AURK
O94811	tppp3	MAPK
O94876	tmcc1	PLK
O94888	ubxn7	PLK
O94901	sun1	CDK,PLK
O94929	ablm3	AURK
O94953	kdm4b	MAPK
O95067	ccnb2	PLK
O95071	ubr5	AURK
O95139	ndub6	CDK
O95140	mfn2	MAPK
O95163	elp1	PLK
O95218	zrab2	PLK
O95229	zwint	AURK
O95235	ki20a	AURK,CDK,NEK,PLK
O95239	kif4	AURK,CDK,PLK
O95248	mtmr5	AURK
O95251	kat7	CDK,PLK
O95263	pde8a	AURK
O95271	tnks1	PLK
O95292	vapb	PLK
O95295	snapn	CDK
O95400	cd2b2	AURK
O95402	med26	AURK
O95425	svil	PLK
O95551	tydp2	MAPK
O95600	klf8	MAPK
O95613	pcnt	AURK,PLK
O95644	nfac1	DYRK,MAPK
O95684	fr1op	PLK
O95721	snp29	NEK
O95785	wiz	AURK
O95817	bag3	AURK,MAPK,PLK
O95835	lats1	AURK,CDK
O95863	snai1	DYRK,MAPK
O95983	mbd3	AURK
O96017	chk2	PLK
O96028	nsd2	AURK,CDK
P00338	ldha	CDK
P00352	al1a1	AURK
P00533	egfr	CDK,MAPK,PLK
P01100	fos	MAPK
P01106	myc1	MAPK,PLK
P02511	cryab	MAPK
P02545	lmna	AURK,CDK
P02686	mbp	MAPK
P03372	esr1	AURK,CDK,MAPK
P04049	araf	MAPK
P04150	gcr	MAPK
P04179	sodm	CDK,MAPK
P04183	kith	CDK
P04626	erbb2	MAPK
P04637	p53	AURK,CDK,DYRK,MAPK,NEK,PLK
P04792	hspb1	MAPK
P05067	a4	CDK,MAPK
P05198	if2a	MAPK
P05412	jun	CDK,MAPK
P05783	k1c18	PLK
P05787	k2c8	AURK,CDK,MAPK,PLK
P06239	lck	MAPK
P06400	rb	AURK,CDK,MAPK
P06401	prgr	CDK,MAPK
P06702	s10ab	MAPK
P06748	npm	AURK,CDK,NEK,PLK
P06899	h2b11	AURK
P07101	ty3h	MAPK
P07195	ldhb	AURK
P07196	nfl	MAPK
P07355	anx2a	CDK
P07437	tbb5	CDK
P07900	hs90a	MAPK
P07954	fumh	MAPK
P07992	ercc1	CDK
P08047	sp1	CDK,MAPK
P08151	gli1	DYRK
P08238	hs90b	AURK,PLK
P08621	ru17	CDK,PLK
P08651	nfic	CDK
P08670	vim4	AURK,CDK,PLK
P08729	k2c8	PLK
P09493	tpm1	CDK,PLK
P09651	roa1	AURK
P09661	ru2a	AURK
P09874	parp1	MAPK,PLK
P09917	lox5	MAPK
P0C1Z6	tfpt	CDK
P0DMV8	hsp70	NEK,PLK
P10242	myb	MAPK
P10244	mybb	CDK
P10275	andr	AURK,CDK,MAPK
P10276	rara	MAPK
P10301	rras2	MAPK
P10412	h1b	CDK
P10415	bcl2	CDK,MAPK
P10636	tau	CDK,DYRK,MAPK
P10644	kap0	CDK
P10828	thbb	MAPK
P11171	41	CDK
P11233	rala	AURK
P11274	bcr	AURK
P11308	erg	MAPK
P11362	fgfr1	MAPK
P11387	top1	CDK
P11388	top2a	AURK,CDK,MAPK,PLK
P11532	dmd	CDK
P11802	cdk4	MAPK
P12268	imdh2	CDK
P12270	tpr	CDK,PLK
P12272	pthr	CDK
P12755	ski	AURK
P12931	src2	PLK
P12956	xrcc6	CDK,PLK
P12980	lyl1	MAPK
P13051	ung	CDK
P13473	lamp2	MAPK
P13591	nca12	MAPK
P13631	rarg	MAPK
P13639	ef2	CDK,NEK
P13726	tf	MAPK
P13797	plst	PLK
P13807	gys1	MAPK
P13861	kap2	AURK
P13984	t2fb	AURK
P14598	ncf1	MAPK
P14618	kpym	AURK,MAPK
P14635	ccnb1	CDK,MAPK,PLK
P14784	il2rb	MAPK
P14859	po2f1	CDK,PLK
P14921	ets1a	MAPK
P15056	braf	MAPK
P15172	myoda	CDK,MAPK
P15336	atf2	CDK,MAPK,PLK
P15531	ndk3	CDK
P15923	tfe2	CDK,MAPK
P15927	rfa2	CDK
P16220	creb1	CDK,DYRK
P16333	nck1	PLK
P16949	stm1a	CDK,PLK
P17181	inar1	MAPK
P17275	junb	MAPK
P17302	cxa1	CDK,MAPK
P17480	ubf1b	PLK
P17535	jund	MAPK
P17542	tal1	MAPK
P17544	atf7	MAPK
P17655	can2	MAPK
P17661	desm	AURK
P17676	cebpb	CDK,MAPK
P17706	ptn2	CDK
P17844	ddx5	MAPK
P17861	xbp1	MAPK
P18031	ptn1	CDK,PLK
P18615	nelfe	AURK,CDK
P18754	rcc1	CDK
P18846	atf1	CDK
