#### Uniprot to Pfam mapping ####
#### UnpAccession: accession of the Uniprot entry ####
#### UnpId : id of the Uniprot entry ####
#### UnpDescription : short description of UniProt entry ####
#### Organism : scientific name of the source organism ####
#### PfamId : id of Pfam family ####
#### PfamName : name of Pfam family ####
#### PfamDescription : short description of Pfam family ####
#### UnpRangeStart, UnpRangeEnd : starting and ending indices in UniProt sequence for the Pfam domain mapping ####
#UnpAccession	UnpId	UnpDescription	Organism	PfamId	PfamName	PfamDescription	UnpRangeStart	UnpRangeEnd
Q9NP87	human DNA Polymerase Mu	DPOLM_HUMAN	Homo sapiens	PF10391	DNA_pol_lambd_f	Fingers domain of DNA polymerase lambda	238	287
Q9NP87	human DNA Polymerase Mu	DPOLM_HUMAN	Homo sapiens	PF14716	HHH_8	Helix-hairpin-helix domain	153	218
Q9NP87	human DNA Polymerase Mu	DPOLM_HUMAN	Homo sapiens	PF14791	DNA_pol_B_thumb	DNA polymerase beta thumb	430	493
Q9NP87	human DNA Polymerase Mu	DPOLM_HUMAN	Homo sapiens	PF14792	DNA_pol_B_palm	DNA polymerase beta palm	290	386
#### Uniprot to PDB mapping ####
#### UnpAccession : accession of the UniProt entry ####
#### UnpRangeStart, UnpRangeEnd : starting and ending indices in UniProt sequence corresponding to the PDB residue range ####
#### PDBid : PDB entry id to which the PDB residue range belongs ####
#### PDBtitle : Title of the PDB entry id ####
#### PDBseqStart, PDBseqEnd : starting and ending indices in sequence of the PDB chain (SEQRES record) containing the mapped PDB residues ####
#### PDBchain : PDB chain identifier of the PDB residues mapped to UniProt range ####
#### PDBresidueNumberStart, PDBresidueNumberEnd : starting and ending residue numbers in PDB file for this mapping - sometimes the might contain an insertion code, e.g. 40:A ####
#UnpAccession	UnpRangeStart	UnpRangeEnd	PDBid	PDBtitle	PDBseqStart	PDBseqEnd	PDBchain	PDBresidueNumberStart	PDBresidueNumberEnd
#122 mappings in 71 PDB chains in 70 PDB entries
Q9NP87	2	30	5w4f	Importin binding to pol Mu NLS peptide	1	29	D	None	None
Q9NP87	2	30	5w4f	Importin binding to pol Mu NLS peptide	1	29	A	2	None
Q9NP87	21	124	2htf	The solution structure of the BRCT domain from human polymerase reveals homology with the TdT BRCT domain	2	105	A	21	124
Q9NP87	24	143	2dun	Solution structure of BRCT domain of DNA polymerase mu	8	127	A	8	127
Q9NP87	132	494	5tyy	DNA Polymerase Mu Product Complex, Mn2+ (60 min)	6	356	A	None	494
Q9NP87	132	494	5tyf	DNA Polymerase Mu Product Complex, 10 mM Mg2+ (270 min)	6	356	A	None	494
Q9NP87	132	494	5tyd	DNA Polymerase Mu Reactant Complex, 10 mM Mg2+ (45 min)	6	356	A	None	494
Q9NP87	132	494	5tye	DNA Polymerase Mu Product Complex, 10 mM Mg2+ (60 min)	6	356	A	None	494
Q9NP87	132	494	5tyg	DNA Polymerase Mu Product Complex, 10 mM Mg2+ (960 min)	6	356	A	None	494
Q9NP87	132	494	5tyb	DNA Polymerase Mu Reactant Complex, 10mM Mg2+ (7.5 min)	6	356	A	None	494
Q9NP87	132	494	5tyc	DNA Polymerase Mu Reactant Complex, 10mM Mg2+ (15 min)	6	356	A	None	494
Q9NP87	132	494	5tyv	DNA Polymerase Mu Reactant Complex, Mn2+ (7.5 min)	6	356	A	None	494
Q9NP87	132	494	5tyu	DNA Polymerase Mu Reactant Complex, Mn2+ (4 min)	6	356	A	None	494
Q9NP87	132	494	5tyw	DNA Polymerase Mu Reactant Complex, Mn2+ (10 min)	6	356	A	None	494
Q9NP87	132	494	5tyx	DNA Polymerase Mu Product Complex, Mn2+ (15 min)	6	356	A	None	494
Q9NP87	411	494	6ak8	Pre-catalytic Ternary Complex of Human DNA Polymerase Mu with Templating Adenine and Incoming Ca-8oxodGTP	273	356	A	411	494
Q9NP87	132	397	6ak8	Pre-catalytic Ternary Complex of Human DNA Polymerase Mu with Templating Adenine and Incoming Ca-8oxodGTP	6	271	A	None	397
