ACC#	Xenopus	Kinase
O00444	plk4	PLK
O14641	dvl2	PLK
O14920	ikkb	PLK
O15350	p73	PLK
O15392	bi52a	PLK
O43474	klf4	PLK
O43663	prc1	PLK
O43852	calu	PLK
O60285	nuak1	PLK
O60341	kdm1a	PLK
O60563	ccnt1	PLK
O60566	bub1b	PLK
O75170	saps2	PLK
O95251	kat7	PLK
O95271	tnks1	PLK
O95613	pcnt	PLK
O96017	chk2	PLK
P04637	p53	PLK
P08238	hs90b	PLK
P0DMV8	hsp70	PLK
P14635	ccnb1	PLK
P15336	atf2	PLK
P18031	ptn1	PLK
P25490	tyy1	PLK
P30291	wee1b	PLK
P30304	mpip1	PLK
P30626	sorcn	PLK
P33981	ttk	PLK
P35222	ctnb	PLK
P35568	irs1b	PLK
P36507	mp2k2	PLK
P37840	syua	PLK
P38398	brca1	PLK
P42695	cndd3	PLK
P42898	mthr	PLK
P46531	notch	PLK
P46937	yap1	PLK
P47736	rpgp1	PLK
P49959	mre11	PLK
P51587	brca2	PLK
P53350	plk1	PLK
P54274	terf1	PLK
P60484	pten	PLK
P61160	arp2a	PLK
P62258	1433e	PLK
P62826	ran	PLK
Q00613	hsf	PLK
Q00987	mdm2	PLK
Q02750	mp2k1	PLK
Q06609	ra51a	PLK
Q07817	ar11	PLK
Q08050	foxm1	PLK
Q12778	foxo1	PLK
Q12834	cdc20	PLK
Q13042	cdc16	PLK
Q13127	resta	PLK
Q13158	fadd	PLK
Q13188	stk3	PLK
Q13416	orc2	PLK
Q13526	pin1	PLK
Q14203	dctn1	PLK
Q14674	espl1	PLK
Q14790	casp8	PLK
Q15013	md2bp	PLK
Q15022	suz12	PLK
Q15208	stk38	PLK
Q15435	pp1r7	PLK
Q15468	stil	PLK
Q16143	syub	PLK
Q16625	ocln	PLK
Q16665	hif1a	PLK
Q2M2Z5	kiz	PLK
Q38SD2	lrrk1	PLK
Q3KR16	pkhg5	PLK
Q49MG5	map9	PLK
Q53GL7	par10	PLK
Q6IBW4	cndh2	PLK
Q6PGQ7	bora	PLK
Q71F23	cenpu	PLK
Q76N32	cep68	PLK
Q7L2Z9	cenpq	PLK
Q8IWB6	srk1	PLK
Q8IZD2	mll5	PLK
Q8N4N8	kif2a	PLK
Q8NG31	casc5	PLK
Q8NHV4	nedd1	PLK
Q8TCG1	cip2a	PLK
Q8TD19	nek9	PLK
Q8TDX7	nek7	PLK
Q92574	tsc1	PLK
Q92994	tf3b	PLK
Q969H0	fbxw7	PLK
Q969U6	fbxw5	PLK
Q96BK5	pinx1	PLK
Q96CV9	optn	PLK
Q96FF9	cca5b	PLK
Q96GX5	gwl	PLK
Q96T23	rsf1	PLK
Q99708	com1	PLK
Q99741	cdc6	PLK
Q99986	vrk1	PLK
Q9BQQ3	gors1	PLK
Q9BVS4	riok2	PLK
Q9H0H5	rgap1	PLK
Q9H2D6	tara	PLK
Q9HAW4	clspn	PLK
Q9HC77	cenpj	PLK
Q9NS56	toprs	PLK
Q9UJX3	apc7	PLK
Q9UJX5	apc4	PLK
Q9UKT4	fbx5a	PLK
Q9UPN4	azi1	PLK
Q9Y265	ruvb1	PLK
Q9Y266	nudc	PLK
Q9Y2I6	ninl	PLK
Q9Y2T1	axnr	PLK
Q9Y2Z0	sugt1	PLK
Q9Y4G8	rpgf2	PLK
Q9Y5T5	ubp16	PLK
Q9Y6D9	md1l1	PLK
Q15058	kif14	PLK
O75122	cla1a	PLK
Q8WWI1	lmo7	PLK
Q9NRY4	rhg35	PLK
P00533	egfr	PLK
Q9NX40	ocad1	PLK
Q99661	kif2c	PLK
Q76FK4	nol8	PLK
Q15154	pcm1	PLK
P49792	rbp2	PLK
Q641Q2	fam21	PLK
Q9ULU4	pkcb1	PLK
Q13017	rhg05	PLK
O75116	rock2	PLK
O95239	kif4	PLK
Q6R327	rictr	PLK
P49023	paxi	PLK
Q92538	gbf1	PLK
Q7Z2Z1	ticrr	PLK
O60499	stx10	PLK
Q15021	cnd1	PLK
P39880	casp	PLK
O00139	kif2a	PLK
Q8WUA4	tf3c2	PLK
Q96PC5	ctge5	PLK
P06748	npm	PLK
O94901	sun1	PLK
P78357	cntp1	PLK
P51532	smca4	PLK
Q7Z3C6	atg9a	PLK
Q9UQ35	srrm2	PLK
Q9BTC0	dido1	PLK
O75179	anr17	PLK
Q8IWS0	phf6	PLK
Q9H4L7	smrcd	PLK
Q5JRC6	phf6	PLK
Q8WYP5	elys	PLK
Q14690	rrp5	PLK
Q8TEP8	ce192	PLK
Q14676	mdc1	PLK
Q6WKZ4	rfip1	PLK
Q69YN4	vir	PLK
Q8IWV7	ubr1	PLK
