#### Uniprot to Pfam mapping ####
#### UnpAccession: accession of the Uniprot entry ####
#### UnpId : id of the Uniprot entry ####
#### UnpDescription : short description of UniProt entry ####
#### Organism : scientific name of the source organism ####
#### PfamId : id of Pfam family ####
#### PfamName : name of Pfam family ####
#### PfamDescription : short description of Pfam family ####
#### UnpRangeStart, UnpRangeEnd : starting and ending indices in UniProt sequence for the Pfam domain mapping ####
#UnpAccession	UnpId	UnpDescription	Organism	PfamId	PfamName	PfamDescription	UnpRangeStart	UnpRangeEnd
Q9NZJ0	Denticleless protein homolog	DTL_HUMAN	Homo sapiens	PF00400	WD40	WD domain, G-beta repeat	350	389
Q9NZJ0	Denticleless protein homolog	DTL_HUMAN	Homo sapiens	PF00400	WD40	WD domain, G-beta repeat	305	345
Q9NZJ0	Denticleless protein homolog	DTL_HUMAN	Homo sapiens	PF00400	WD40	WD domain, G-beta repeat	210	244
Q9NZJ0	Denticleless protein homolog	DTL_HUMAN	Homo sapiens	PF00400	WD40	WD domain, G-beta repeat	130	169
Q9NZJ0	Denticleless protein homolog	DTL_HUMAN	Homo sapiens	PF00400	WD40	WD domain, G-beta repeat	88	126
#### Uniprot to PDB mapping ####
#### UnpAccession : accession of the UniProt entry ####
#### UnpRangeStart, UnpRangeEnd : starting and ending indices in UniProt sequence corresponding to the PDB residue range ####
#### PDBid : PDB entry id to which the PDB residue range belongs ####
#### PDBtitle : Title of the PDB entry id ####
#### PDBseqStart, PDBseqEnd : starting and ending indices in sequence of the PDB chain (SEQRES record) containing the mapped PDB residues ####
#### PDBchain : PDB chain identifier of the PDB residues mapped to UniProt range ####
#### PDBresidueNumberStart, PDBresidueNumberEnd : starting and ending residue numbers in PDB file for this mapping - sometimes the might contain an insertion code, e.g. 40:A ####
#UnpAccession	UnpRangeStart	UnpRangeEnd	PDBid	PDBtitle	PDBseqStart	PDBseqEnd	PDBchain	PDBresidueNumberStart	PDBresidueNumberEnd
#3 mappings in 3 PDB chains in 1 PDB entries
Q9NZJ0	704	717	6qc0	PCNA complex with Cdt2 C-terminal PIP-box peptide	1	14	B	None	None
Q9NZJ0	704	717	6qc0	PCNA complex with Cdt2 C-terminal PIP-box peptide	1	14	F	None	None
Q9NZJ0	704	717	6qc0	PCNA complex with Cdt2 C-terminal PIP-box peptide	1	14	D	None	None

