#### Uniprot to Pfam mapping ####
#### UnpAccession: accession of the Uniprot entry ####
#### UnpId : id of the Uniprot entry ####
#### UnpDescription : short description of UniProt entry ####
#### Organism : scientific name of the source organism ####
#### PfamId : id of Pfam family ####
#### PfamName : name of Pfam family ####
#### PfamDescription : short description of Pfam family ####
#### UnpRangeStart, UnpRangeEnd : starting and ending indices in UniProt sequence for the Pfam domain mapping ####
#UnpAccession	UnpId	UnpDescription	Organism	PfamId	PfamName	PfamDescription	UnpRangeStart	UnpRangeEnd
Q53ET0	CREB-regulated transcription coactivator 2	CRTC2_HUMAN	Homo sapiens	PF12884	TORC_N	Transducer of regulated CREB activity, N terminus	18	75
Q53ET0	CREB-regulated transcription coactivator 2	CRTC2_HUMAN	Homo sapiens	PF12885	TORC_M	Transducer of regulated CREB activity middle domain	168	322
Q53ET0	CREB-regulated transcription coactivator 2	CRTC2_HUMAN	Homo sapiens	PF12886	TORC_C	Transducer of regulated CREB activity, C terminus	615	692
#### Uniprot to PDB mapping ####
#### UnpAccession : accession of the UniProt entry ####
#### UnpRangeStart, UnpRangeEnd : starting and ending indices in UniProt sequence corresponding to the PDB residue range ####
#### PDBid : PDB entry id to which the PDB residue range belongs ####
#### PDBtitle : Title of the PDB entry id ####
#### PDBseqStart, PDBseqEnd : starting and ending indices in sequence of the PDB chain (SEQRES record) containing the mapped PDB residues ####
#### PDBchain : PDB chain identifier of the PDB residues mapped to UniProt range ####
#### PDBresidueNumberStart, PDBresidueNumberEnd : starting and ending residue numbers in PDB file for this mapping - sometimes the might contain an insertion code, e.g. 40:A ####
#UnpAccession	UnpRangeStart	UnpRangeEnd	PDBid	PDBtitle	PDBseqStart	PDBseqEnd	PDBchain	PDBresidueNumberStart	PDBresidueNumberEnd
#1 mappings in 1 PDB chains in 1 PDB entries
Q53ET0	18	50	4htm	Mechanism of CREB Recognition and Coactivation by the CREB Regulated Transcriptional Coactivator CRTC2	2	34	A	None	None

