SGD Name	symbol	Entry	Protein Level	Phosphorylation	P-Score	Peak	[ST]-P-X-[KR]	[ST]-P
PAK1	SAK1	P38990	0.1	231358	6.4	NA	5	11
BUD4	BUD4	P47136	0.1	60423	5.8	G2/M	6	14
FUN30	FUN30	P31380	0.1	57405	5.8	NA	3	10
VMR1	VMR1	P38735	0.1	39760	5.6	NA	3	10
ICY2	ATG41	Q12048	0.1	23406	5.4	S	1	2
YRF1-6	YRF1-6	P53819	0.1	23847	5.4	G1	2	5
YJR054W	KCH1	P47114	1	240931	5.4	G1	1	4
SLK19	SLK19	Q08581	0.1	17857	5.3	G1	3	6
YOR066W	MSA1	Q08471	0.1	17932	5.3	M/G1	4	25
CAF120	CAF120	P53836	0.1	17883	5.3	NA	5	27
MSH6	MSH6	Q03834	0.1	21677	5.3	G1	1	7
ADY3	ADY3	Q07732	0.1	20149	5.3	NA	3	8
NUP1	NUP1	P20676	0.1	14176	5.2	NA	2	15
BNI1	BNI1	P41832	0.1	15168	5.2	NA	3	19
DNA2	DNA2	P38859	0.1	15346	5.2	NA	3	8
KEL2	KEL2	P50090	0.1	10842	5	G1	1	10
TOS4	TOS4	Q06266	0.1	8301	4.9	G1	3	9
MON1	MON1	P53129	0.1	7262	4.9	NA	0	3
DDC1	DDC1	Q08949	0.1	7044	4.8	NA	2	3
SIP3	SIP3	P38717	0.1	5728	4.8	NA	2	9
SFB3	SFB3	P38810	0.1	6945	4.8	S	1	7
SIR4	SIR4	P11978	0.1	6146	4.8	NA	5	16
PKC1	PKC1	P24583	0.1	5807	4.8	NA	5	13
CSR2	CSR2	Q12734	0.1	4745	4.7	NA	3	13
SWI5	SWI5	P08153	0.1	5206	4.7	G2/M	8	20
DBF4	DBF4	P32325	0.1	5310	4.7	NA	2	5
CHS2	CHS2	P14180	50	2744790	4.7	G2/M	4	8
SWE1	SWE1	P32944	2	87408	4.6	G1	2	13
NET1	NET1	P47035	0.1	4452	4.6	NA	3	17
YHR149C	SKG6	P32900	0.1	3626	4.6	G1	1	10
YRF1-3	YRF1-3	P0CX14	0.1	3962	4.6	G1	2	5
LTE1	LTE1	P07866	0.1	3749	4.6	NA	8	20
MSB1	MSB1	P21339	0.1	3061	4.5	S	3	15
YLR187W	SKG3	Q06315	0.1	3331	4.5	NA	2	21
MLP1	MLP1	Q02455	0.1	2868	4.5	NA	3	7
SEC3	SEC3	P33332	0.1	3285	4.5	NA	2	6
RTS1	RTS1	P38903	0.1	2281	4.4	NA	2	9
ARG1	ARG1	P22768	10	237747	4.4	S/G2	2	3
FKH2	FKH2	P41813	0.1	2735	4.4	NA	3	11
YLR278C	NA	Q05854	0.1	1780	4.3	NA	3	11
MLH2	MLH2	Q07980	0.1	2015	4.3	NA	1	8
PHD1	PHD1	P36093	0.1	2120	4.3	G2/M	1	8
TOS2	TOS2	P50078	0.1	2002	4.3	G1	1	5
LRE1	LRE1	P25579	150	2679945	4.3	NA	5	15
CLN3	CLN3	P13365	0.1	2214	4.3	G2/M	1	12
YTA7	YTA7	P40340	0.1	1540	4.2	NA	3	12
RBS1	RBS1	Q05672	0.1	1418	4.2	NA	0	8
FUS1	FUS1	P11710	1	16310	4.2	M/G1	2	9
SMC4	SMC4	Q12267	0.1	1373	4.1	NA	5	10
ORC6	ORC6	P38826	50	588875	4.1	NA	4	6
CDH1	CDH1	P53197	25	304756	4.1	NA	6	11
YPL267W	ACM1	Q08981	300	2676376	4	G1	5	5
YML119W	NA	Q03208	25	238049	4	G2/M	3	6
ACF4	ACF4	P47129	10	91539	4	NA	2	8
UFE1	UFE1	P41834	10	71380	3.9	G1	0	2
MIH1	MIH1	P23748	5	35512	3.9	NA	2	9
TUS1	TUS1	Q06412	1	8153	3.9	NA	2	19
YER158C	NA	P40095	0.1	711	3.9	NA	2	11
GIN4	GIN4	Q12263	0.1	781	3.9	G1	2	11
PLM2	PLM2	Q04383	200	1686355	3.9	G1	4	14
BEM3	BEM3	P32873	0.1	596	3.8	NA	5	24
POM152	POM152	P39685	0.1	694	3.8	NA	2	9
MMR1	MMR1	Q06324	50	308587	3.8	G2/M	2	7
SFI1	SFI1	Q12369	0.1	618	3.8	NA	5	9
MOB1	MOB1	P40484	50	305565	3.8	G2/M	2	7
FIR1	FIR1	P40020	10	69582	3.8	S/G2	6	22
RAD9	RAD9	P14737	0.1	604	3.8	NA	9	20
LUV1	VPS54	Q12071	0.1	615	3.8	NA	2	7
RGA1	RGA1	P39083	0.1	503	3.7	M/G1	1	15
ASE1	ASE1	P50275	0.1	555	3.7	G2/M	7	12
YNL321W	VNX1	P42839	10	52139	3.7	NA	2	7
NBP1	NBP1	P52919	0.1	487	3.7	G1	3	7
SEN1	SEN1	Q00416	0.1	494	3.7	NA	2	13
SIC1	SIC1	P38634	200	996630	3.7	M/G1	3	9
MYO3	MYO3	P36006	0.1	526	3.7	NA	3	6
DAL81	DAL81	P21657	25	140193	3.7	NA	2	19
FIN1	FIN1	Q03898	200	945921	3.7	S/G2	5	6
INO2	INO2	P26798	0.1	560	3.7	NA	2	4
FUN21	GIP4	P39732	1	4937	3.7	NA	3	12
YNR047W	FPK1	P53739	10	37396	3.6	NA	3	16
SWI6	SWI6	P09959	1	3967	3.6	NA	2	5
KIN2	KIN2	P13186	0.1	391	3.6	NA	1	11
CNN1	CNN1	P43618	100	393763	3.6	NA	3	5
ECO1	ECO1	P43605	30	127694	3.6	G1	1	4
BCK2	BCK2	P33306	10	38599	3.6	NA	4	19
ORC2	ORC2	P32833	200	730607	3.6	NA	6	12
YDR348C	PAL1	Q05518	100	292718	3.5	NA	3	5
YDL025C	RTK1	Q12100	2.5	7296	3.5	NA	2	7
KAR3	KAR3	P17119	75	182904	3.4	G1	2	6
NDD1	NDD1	Q08887	10	24327	3.4	G1	4	16
RRP6	RRP6	Q12149	1	2792	3.4	NA	2	10
SPA2	SPA2	P23201	0.1	247	3.4	NA	2	23
YJL084C	ALY2	P47029	50	123227	3.4	NA	3	18
HOS4	HOS4	P40480	50	140045	3.4	NA	3	11
YHR159W	TDA11	P38854	150	375616	3.4	G1	3	9
CDC20	CDC20	P26309	2.5	6138	3.4	G2/M	1	4
HCM1	HCM1	P25364	1	2551	3.4	G1	5	15
POG1	POG1	P40473	0.1	183	3.3	G2/M	1	5
CVT20	ATG20	Q07528	300	605325	3.3	NA	2	2
DBF20	DBF20	P32328	20	31795	3.2	S/G2	1	6
CDC5	CDC5	P32562	5	7404	3.2	G2/M	1	5
ORC1	ORC1	P54784	3	4996	3.2	S/G2	1	5
IFH1	IFH1	P39520	150	230698	3.2	NA	2	6
BNA3	BNA3	P47039	5	7995	3.2	S/G2	1	7
DBF2	DBF2	P22204	50	80255	3.2	G2/M	2	7
ZIP1	ZIP1	P31111	400	576188	3.2	NA	3	4
YBR138C	NA	P38277	2.5	4141	3.2	G2/M	1	3
BBP1	BBP1	Q12365	10	13328	3.1	G1	1	4
YOL070C	NBA1	Q08229	50	69477	3.1	G2/M	2	6
FAR10	FAR10	Q06001	25	29767	3.1	NA	2	5
YKR089C	TGL4	P36165	0.1	114	3.1	NA	2	9
HPR5	SRS2	P12954	0.1	116	3.1	S	5	8
MCM3	MCM3	P24279	300	372637	3.1	M/G1	5	11
PDS1	PDS1	P40316	25	32213	3.1	G1	3	5
MPC54	MPC54	Q08550	100	111680	3	NA	3	5
CYC2	CYC2	P38909	1	1089	3	NA	2	5
SLD2	SLD2	P34252	50	51144	3	G1	5	11
PCL7	PCL7	P40186	10	9225	3	S/G2	1	5
MPS2	MPS2	P53159	400	398207	3	NA	3	5
YDR223W	CRF1	Q04930	5	5384	3	NA	2	6
YOR315W	SFG1	Q12507	100	74883	2.9	G2/M	2	8
YOR081C	TGL5	Q12043	20	14852	2.9	NA	3	11
STB1	STB1	P42845	20	16840	2.9	G1	5	18
BOP3	BOP3	P53958	200	166303	2.9	NA	4	9
SRC1	SRC1	Q03707	500	380811	2.9	G2/M	2	9
CST9	CST9	Q06032	1	709	2.9	NA	2	6
PXL1	PXL1	P36166	300	219235	2.9	G1	1	9
BSP1	BSP1	Q06604	2000	1211179	2.8	NA	3	10
KIP2	KIP2	P28743	150	91993	2.8	S/G2	2	8
YOX1	YOX1	P34161	10	5713	2.8	G1	4	14
SSK1	SSK1	Q07084	100	61220	2.8	NA	3	18
FAR1	FAR1	P21268	100	65166	2.8	G2/M	4	15
TFG1	TFG1	P41895	200	112721	2.8	NA	3	9
PKH2	PKH2	Q12236	50	26164	2.7	NA	3	21
YDL089W	NUR1	Q12066	200	102271	2.7	M/G1	2	9
IPL1	IPL1	P38991	250	102546	2.6	G1	3	5
ASH1	ASH1	P34233	5	2013	2.6	M/G1	7	24
YEN1	YEN1	P40028	50	20649	2.6	NA	8	10
BEM1	BEM1	P29366	100	44466	2.6	G2/M	2	4
YPR174C	NA	Q06616	30	8813	2.5	G1	1	5
GAC1	GAC1	P28006	30	9479	2.5	NA	3	10
PIN2	PIN2	Q12057	150	45428	2.5	G2/M	1	6
ACE2	ACE2	P21192	50	15189	2.5	G2/M	7	21
YKR078W	NA	P36158	50	16578	2.5	NA	1	4
DNF2	DNF2	Q12675	1000	290078	2.5	NA	2	12
FMT1	FMT1	P32785	125	42926	2.5	NA	2	4
TAF4	TAF4	P50105	1500	399586	2.4	NA	3	7
RAV1	RAV1	P47104	2	537	2.4	NA	2	11
MSB2	MSB2	P32334	50	11785	2.4	G1	2	19
SIT1	SIT1	P39980	15	3916	2.4	G2/M	1	4
NTH1	NTH1	P32356	100	26107	2.4	G1	1	4
FRT2	FRT2	P39734	100	24756	2.4	NA	3	7
DPB2	DPB2	P24482	300	58016	2.3	G1	2	3
POL1	POL1	P13382	25	5560	2.3	G1	2	13
